 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
i	0.72903718078	0.24769833778	0.0092803393294	0.0053993440427	0.00147415685034	0.00208389622107	0.00153111778651	0.000686253289829	0.00068089238744	0.000880197045907	0.00124828188697
m	0.53714756688	0.411768846527	0.0289122899765	0.00696033316557	0.00309574719387	0.00219553427026	0.0017561034954	0.000750644971153	0.000785843639723	0.001955477382	0.00467160842182
à	0.324817436573	0.610751506176	0.0448521728388	0.00616419245519	0.00291398574902	0.0009577047479	0.00178400048201	0.000401861062962	0.000463904260684	0.00180883496917	0.00508440044882
n	0.206205848958	0.699739891392	0.0584782636129	0.00774130017173	0.00552413685114	0.00128897278681	0.00158728359965	0.000278321661088	0.000300443811398	0.000744082507424	0.0181114513842
a	0.144684789266	0.643120635797	0.155031146604	0.0205387123106	0.00871234864545	0.00199821907512	0.00242313813888	0.000359265048185	0.000260955632733	0.000413254030933	0.0224575373025
m	0.072809962982	0.560389039666	0.301292337268	0.0362655689035	0.0117154708611	0.00348541775377	0.00287217115596	0.000581053955608	0.000298925487591	0.000297475079042	0.00999257861303
u	0.046066256446	0.373502304489	0.457562741089	0.0869564217012	0.0189780954404	0.00470579856799	0.00321400380292	0.00121865309446	0.000649065259417	0.00038829380935	0.00675836104694
c	0.0364499788473	0.23052325083	0.51398666323	0.1544759533	0.0353183698335	0.005439291742	0.00580817115857	0.00184575544571	0.00114551312793	0.00149253240905	0.0135145114461
e	0.0431299437344	0.157387373403	0.483602487277	0.2300691985	0.0518832241245	0.00753675511933	0.00600287525952	0.00149411067655	0.000988732389389	0.00176511338041	0.0161401668843
o	0.0323534485435	0.0712515806577	0.365456946692	0.410781702833	0.0765260981082	0.0185303945531	0.0113635450225	0.0018009663795	0.00130272117518	0.00274716439431	0.00788540353012
c	0.0164110685078	0.0401969126092	0.197273737497	0.480866047878	0.191956843103	0.0259556997477	0.0228078939875	0.00387565204783	0.00179140769649	0.00389768076157	0.0149670323824
i	0.0197611850824	0.0316206451671	0.130078950099	0.469448092226	0.276709898168	0.0274610813592	0.0202083504225	0.00386709770161	0.00144457211467	0.00240017816677	0.0169999253842
ù	0.0189208421553	0.0177090174013	0.0762138537263	0.459279926075	0.289745416456	0.0553702404397	0.0663482007342	0.00430476531287	0.00243376808246	0.0022167359883	0.0074572131758
r	0.00870984240487	0.0082196282647	0.0444816886688	0.395198019358	0.361610255885	0.0712174576799	0.0893563690247	0.00808993070809	0.00331265465402	0.0030607111823	0.00674344001141
i	0.00746153170606	0.0067529775529	0.0331222064683	0.298012183119	0.391497038628	0.134689035227	0.0771679271882	0.0364966473305	0.00388995514867	0.00376678048917	0.00714370547468
m	0.00776680852335	0.00570856599097	0.0186526571014	0.189139937373	0.423565546876	0.175631518876	0.0962084867294	0.0639369126008	0.00556735386022	0.00391145596372	0.00991072631229
u	0.00956041709912	0.00598249914899	0.0133833226953	0.129330301524	0.370333351759	0.183905007425	0.160996676843	0.102578220358	0.00825819223674	0.00451098882257	0.0111609916808
e	0.011897125701	0.005847414833	0.0090855361349	0.0647924878727	0.200819200986	0.227796672075	0.292341904748	0.151081132919	0.0156156569289	0.0113395226129	0.00938333119539
p	0.00999866495927	0.00370258935767	0.00528058703323	0.0334276795689	0.136472541062	0.176528758925	0.409503778916	0.175641673491	0.021117710443	0.0154747092196	0.0128513163083
ì	0.00739262074702	0.00258754469222	0.00350227723641	0.020584187699	0.100405327687	0.145888467708	0.448914952305	0.228068258215	0.0195741421343	0.0115814197088	0.0115008015531
t	0.0047037373347	0.00169161315835	0.00400078625347	0.0135197638157	0.070610309829	0.137530047269	0.467170692102	0.257019160745	0.0212917476648	0.0102216042252	0.0122405316947
t	0.0151091690613	0.00206631453258	0.00698690860402	0.0210340191686	0.072831171543	0.107131384083	0.447360684901	0.231226999388	0.0515133906816	0.0148964832551	0.0298434688796
a	0.0184298547435	0.00200170117472	0.00625357803621	0.0206463728229	0.047431751681	0.0978778652877	0.303778335567	0.366031496263	0.0872360735872	0.0166256478604	0.0336872981705
n	0.00803169270237	0.00174476613983	0.00456512132907	0.00933039105963	0.023741818885	0.0657446248292	0.250487833589	0.455033492088	0.103976252729	0.0379236427468	0.0394203265755
e	0.00535365801932	0.0020089429798	0.00441568401402	0.00493439230854	0.015198362031	0.0452278167431	0.224459257463	0.426047487363	0.162524220576	0.0590630671689	0.0507670860238
m	0.0104301557684	0.00237356996037	0.00411462712054	0.00358355471351	0.00963793808567	0.0373748488944	0.176399724688	0.436124704434	0.195529875325	0.0547170179296	0.0697139773079
à	0.0115843957879	0.00197902764056	0.00332974774091	0.0026973833059	0.00744109677256	0.0313599805448	0.151657821136	0.418850579125	0.235985826908	0.0511883760232	0.0839257544293
i	0.010519428835	0.00221143732112	0.0035768864965	0.00475364510337	0.00749629661752	0.0314976713749	0.102807785985	0.337092257508	0.299055347436	0.106446267208	0.0945429573831
s	0.0160220480481	0.00304685266246	0.0047420090847	0.00622316647819	0.00693351844424	0.023274150767	0.110644759615	0.220386281436	0.335692962279	0.165229722203	0.107804520588
i	0.0137644674058	0.00336207713597	0.00477830828717	0.00490277147313	0.00419908223481	0.0127905291754	0.099682628445	0.180901871665	0.34369714276	0.208386074534	0.123535051523
n	0.0114372687276	0.00454673582359	0.00655550024574	0.00476444192698	0.00312415980387	0.00765389026753	0.106530828535	0.130625254954	0.30244963732	0.286487673445	0.135824614974
G	0.0102036251846	0.0040882064565	0.00648549719417	0.00388255354139	0.00218348569965	0.0116339849769	0.114621959619	0.112456246417	0.267546310107	0.321380501748	0.145517631478
r	0.0066506203884	0.00229170834045	0.00429145436736	0.00368022956906	0.00513413553631	0.0215354432927	0.0730283681172	0.098671004333	0.295755519436	0.285330872316	0.203630653713
è	0.0057840867879	0.00158791174566	0.00289098021979	0.00448938634582	0.0110537435194	0.0216458055749	0.0407936819764	0.057997551311	0.346526238612	0.238741967572	0.268488661171
c	0.0043506163069	0.00160178621269	0.00275875293753	0.00394812182527	0.0101026503727	0.0127873752643	0.0836870923368	0.0561280882237	0.305641473871	0.269816194471	0.249177850257
i	0.00524406068323	0.0035562470817	0.00594468300344	0.00739427755909	0.0154834098692	0.0173327134804	0.105489162532	0.0575290205499	0.219127955024	0.307844449704	0.255054006686
