 	qui	ancora	stanno	con	la	luce	accesa	e	stanno	svegli	</S>
e	0.91251851	0.068269913941	0.0101934906905	0.00147140686565	0.00276355280256	0.00262993875144	0.000330183258588	0.00039524740784	0.0002853221026	0.000555800615797	0.000586645628304
t	0.860718226667	0.104984553347	0.0168500677415	0.00250622430325	0.00369835272305	0.002753403497	0.000455377285993	0.000518510076735	0.000394913809211	0.000664455762183	0.00645591971305
t	0.833166018222	0.120605090982	0.0249781058338	0.00586291645578	0.00374899443808	0.00125991363345	0.000470515983156	0.000394968141216	0.000345356468812	0.00104183476639	0.00812627641196
ù	0.593734194807	0.356314557661	0.0350384093113	0.00638535555413	0.0031359931856	0.000670767820667	0.000414689360235	0.000237455201552	0.000234383048925	0.00105742139844	0.00277678044817
a	0.259553805336	0.649039728554	0.0619684536104	0.00425423115291	0.00280343240777	0.00141328031368	0.0015167248922	0.000929054147529	0.00169242381294	0.00628818552163	0.0105407148763
n	0.119906016479	0.670090540851	0.158080339603	0.0126074123776	0.00496185998926	0.00275121746296	0.00211322460795	0.00129623763773	0.00225193516805	0.00841046446844	0.0175307670299
k	0.0868092163997	0.52660353935	0.285637986801	0.0419146618392	0.0163882739044	0.0215570994035	0.00171035985897	0.00078832070749	0.00106468314212	0.00720292653128	0.0103229231137
ò	0.0609289226172	0.42165437885	0.408683642267	0.0503184138997	0.0191346638115	0.0269761989258	0.00134583574964	0.00049153698871	0.00059342804402	0.00636096221558	0.00351201960924
r	0.0291791982831	0.447523491283	0.455930546089	0.0356596415732	0.0118509799452	0.0107755981781	0.00136457203946	0.00063067035397	0.000548726882533	0.00256561937358	0.00397096705708
a	0.019586464721	0.342305101694	0.50161583203	0.0990116489311	0.0202651128311	0.00726364583203	0.00208091450993	0.00102531662322	0.00123954642762	0.00136645078442	0.00423997804491
s	0.0145833212957	0.182013934365	0.578831368677	0.165886199977	0.0359582450104	0.00895422803734	0.00267303546178	0.00125480828374	0.00134111932279	0.00105572372591	0.00744802732994
t	0.00696238524617	0.117696784595	0.561830446892	0.205532294592	0.0742748043368	0.0166798525764	0.00365699285839	0.00148288423611	0.00103678250677	0.00233331962897	0.00851344839084
è	0.00433699614632	0.0516289738583	0.496253528297	0.302119188464	0.110137953712	0.0244000715001	0.0035868203484	0.00121418866722	0.000995319257559	0.00228019642695	0.00304675144171
o	0.00261463239411	0.0213668772981	0.331258453499	0.418913461488	0.183931704237	0.029958567556	0.0052368785504	0.00263343506432	0.00114244862824	0.00107900960399	0.00186452079011
n	0.0019287149263	0.0120207114427	0.1840383659	0.462916903163	0.274067965412	0.0440054777453	0.00833332163013	0.00376417892344	0.00116385717535	0.00281991002186	0.00494058330954
m	0.00285395325635	0.010989230538	0.131583446027	0.422721894788	0.296196633137	0.107632140275	0.01007036169	0.00406986632848	0.00178466242112	0.00634864417371	0.00574916864248
o	0.0040329135201	0.0085071726064	0.0721445366957	0.360139152663	0.383256565046	0.143518619092	0.0128935747633	0.00426935009816	0.00261009956837	0.00554718283858	0.00308084581283
l	0.0027962609111	0.00475540774347	0.0407766223586	0.340031340888	0.452928778349	0.120150658764	0.0200488817211	0.00534024149472	0.00264271316412	0.00422818572252	0.00630091316041
ì	0.00265246601743	0.00322293006582	0.0272525825862	0.299874000296	0.45771080545	0.156802945988	0.032368923507	0.00697713219424	0.00245192139604	0.00378581077051	0.00690046894724
m	0.00256115975701	0.00257852850961	0.0158103493354	0.226045982365	0.47186133115	0.214193163129	0.0464089595023	0.00845843406075	0.00389384833468	0.0024351221945	0.00575310173211
o	0.0064237580382	0.00286493034307	0.0103895109361	0.149648887188	0.411403275717	0.27216749411	0.113923898101	0.0179759349536	0.00696694967023	0.00244610089912	0.00578923906664
a	0.0087876879394	0.00266309530531	0.00526418087917	0.0667605809627	0.286880667306	0.297649205903	0.256451673834	0.0486638977179	0.0103926039141	0.0123046166229	0.00418177346988
n	0.00447342422267	0.00200674208399	0.00309311337766	0.0447138682542	0.235203744102	0.254120998901	0.352291367278	0.0667187580393	0.0123095377647	0.0197408925503	0.00532755226896
a	0.00263027084709	0.00243863795713	0.00346890789655	0.0382628637421	0.212222034534	0.215119070634	0.391838055093	0.0878288294131	0.0187466918149	0.0216992794214	0.00574537909617
m	0.00184580807903	0.00229712599238	0.00322135949772	0.0233811938147	0.145545140478	0.255556218078	0.402466999031	0.112964673671	0.0233004584783	0.0226671143138	0.00675394264324
