 	perché	aveva	lavorato	molto	</S>
j	0.960299376	0.018637417464	0.00224828188668	0.00696882600257	0.0118460621827
a	0.900848525333	0.074560779328	0.00290264376743	0.00792189400429	0.0137661340996
t	0.704818184444	0.274294942576	0.00513476768781	0.00682505689626	0.00892702917745
ì	0.507232114748	0.474456660459	0.00691468624527	0.00599844559131	0.0053980940616
ì	0.358008398189	0.605528243353	0.0254258942551	0.0080577372786	0.00297973564835
c	0.193303501669	0.733082163784	0.053301683685	0.0108905212069	0.00942212092822
h	0.151806644156	0.721925662595	0.092705993655	0.0193759718383	0.0141857262162
e	0.122451602965	0.527073169532	0.312124743845	0.0262162498401	0.012134229165
p	0.0547411951177	0.338030532577	0.559631261282	0.02668586078	0.020911146419
o	0.0310995577752	0.210574343192	0.688832578427	0.0419950190333	0.0274984917817
l	0.0200874705831	0.0984949085773	0.785552445476	0.0611335424778	0.0347316243406
e	0.015576022323	0.0457816149191	0.816390850492	0.0753979090259	0.0468536063935
m	0.0145421356123	0.030520587873	0.808024976831	0.090022359642	0.0568899412645
ì	0.0179497777556	0.0248395010043	0.735088036944	0.145694034247	0.0764286441548
s	0.0179868322567	0.0142172130514	0.631675776981	0.251511257082	0.0846089089249
o	0.0129877692796	0.0123170392605	0.45001404286	0.393962965161	0.130718180888
n	0.0130414521043	0.0123879612175	0.299036858687	0.524782598387	0.150751129203
t	0.00746694170297	0.00952476958389	0.258486716256	0.574606925462	0.149914633294
a	0.00547538184412	0.00657798178335	0.172625421992	0.564051917154	0.251269278525
p	0.00663952145171	0.00627526972445	0.0962440128467	0.611181491051	0.279659686442
o	0.00980306050044	0.0120471964355	0.0649121063889	0.67842806435	0.234809543574
d	0.0139093731398	0.0141979970938	0.0404057384736	0.722639118783	0.208847748285
d	0.0160730824324	0.0123726972079	0.0573511825712	0.693630382928	0.220572651695
h	0.0146034223212	0.014119535058	0.0713949272904	0.641486980309	0.258395150498
ì	0.0385498192258	0.0190064193547	0.0416143427435	0.567510402103	0.333319034433
</S>	0.0641788530029	0.0234914487173	0.0264313298018	0.478368989051	0.407529388617
