 	non	ti	dimentichiamo	mai	</S>
e	0.6513155475	0.2954683099	0.007504318136	0.0027467946563	0.0429650276863
s	0.4857199261	0.4405974933	0.017960661834	0.00796639738837	0.0477555226767
e	0.325141217633	0.605367262433	0.0331969711967	0.0118694013446	0.0244251604602
a	0.144218249711	0.684358797478	0.108259586122	0.0122145174613	0.0509488481394
l	0.0642636083503	0.593948938359	0.203428108841	0.0259582285856	0.112401121009
l	0.0495411908434	0.465083500386	0.309535293614	0.0626524470041	0.113187603104
i	0.0542368383078	0.369295492729	0.396435108405	0.108624382284	0.071408214382
m	0.0421189695206	0.347596739443	0.457467664855	0.101599979438	0.0512166699607
o	0.0299310086782	0.272778814774	0.483205450472	0.16472440945	0.0493603157136
n	0.0265251970967	0.220085694885	0.370462703224	0.294378757503	0.0885476377912
ù	0.0355667360576	0.173180047282	0.256643961575	0.419403192054	0.115206056917
m	0.0781810038452	0.0830483151473	0.196299173185	0.515130352145	0.127341143406
e	0.0783414873504	0.0474363922958	0.145518214955	0.566025928842	0.162677956249
m	0.0325495023568	0.0338120360353	0.091675140585	0.584984295121	0.256979011816
à	0.0163595699789	0.0230215957998	0.0492344361617	0.658222797214	0.253161591825
i	0.024923253697	0.0251939396476	0.0349273451186	0.639862740271	0.275092711628
</S>	0.0349268223785	0.0314851863483	0.0270173794063	0.524328079936	0.382242526514
