 	non	mi	aspetti	che	non	vengo	</S>
m	0.34546228265	0.26162471073	0.353554600333	0.0114685240519	0.00571351050599	0.016259755938	0.00591664747588
ì	0.25394232595	0.34536239413	0.357218307978	0.0127632467746	0.00613310656533	0.0165671902183	0.00801344983808
m	0.235952310083	0.426948220823	0.286594436526	0.0176182669089	0.00590973552711	0.0204573385084	0.00651972119023
e	0.180263374441	0.438158332721	0.295550677509	0.0450544302696	0.0096625557757	0.0253052581605	0.00600538376216
m	0.127485680194	0.351181411734	0.40909152917	0.0667733678232	0.0119552224926	0.02830621461	0.00520656301305
ì	0.0623190081673	0.201037481138	0.465817798257	0.164408758408	0.0729254369829	0.0300607598669	0.00343074452242
n	0.0970842522711	0.229646630826	0.307318038886	0.233195881803	0.096950020421	0.0293475729643	0.00645758896187
e	0.098978987997	0.182808445105	0.216317922989	0.354653907601	0.0862767456003	0.0528773391068	0.00808664243996
k	0.0472614798043	0.0883360094783	0.15569660649	0.5057280892	0.0909271020001	0.103518398073	0.00853230422665
a	0.0283439041801	0.0442256690243	0.120136885837	0.4839732044	0.190697757467	0.121236699004	0.0113858545155
e	0.018377835718	0.0257697071218	0.0452018742897	0.3977004464	0.383407500022	0.0937355726347	0.0358070491452
n	0.013420461045	0.0146207478381	0.0224871928739	0.301103856547	0.382891294161	0.206997946678	0.0584785042484
è	0.0341383642653	0.0136585772354	0.0121907509233	0.213588673689	0.33312855534	0.349984034226	0.0433110381495
r	0.0401689785643	0.0120391677016	0.00583164165443	0.174870566436	0.248964190047	0.485566248075	0.0325591909698
k	0.0231665645505	0.0348105995144	0.00801150557748	0.150730364072	0.125063914549	0.563954245625	0.0942627902433
u	0.0191007517574	0.0446316638255	0.00914074077716	0.079877110494	0.10105988745	0.524731106142	0.221458724948
m	0.012103363326	0.0199958502833	0.0121049313411	0.0383376864347	0.0972851440833	0.515120168381	0.305052854449
e	0.0751635154479	0.0156566119532	0.0125484389546	0.0286099833082	0.0719214122944	0.44445898806	0.351641061196
</S>	0.139504898699	0.0178228961466	0.0076769170857	0.0261900085791	0.0432875989472	0.38241832643	0.383099364768
