 	che	vende	buon	pane	</S>
k	0.83788353	0.13448834244	0.0195657481978	0.00082589415093	0.00723646855957
a	0.632528073333	0.32276622328	0.0361641226466	0.00114824601671	0.00739331859002
i	0.334074930298	0.594251252893	0.0635670016689	0.00326356265817	0.00484324445024
p	0.129530355079	0.776869378298	0.067058719223	0.00641573141652	0.0201258153383
u	0.077812511953	0.815341256099	0.068166823301	0.00780436414964	0.0308750258658
l	0.065017753811	0.7190402847	0.122377042594	0.01357358399	0.0799913143583
ì	0.048161403297	0.5275014709	0.261924763091	0.0276152655907	0.134797084932
t	0.0465645720497	0.3590983763	0.39867133163	0.0425919720616	0.153073738594
s	0.0528479374676	0.29928885244	0.375742945557	0.105423890661	0.166696367093
o	0.0404946182995	0.224335249987	0.401459692333	0.201347674396	0.132362756728
m	0.0291729915642	0.111152470469	0.50052302527	0.222853736112	0.136297760636
ì	0.0236600215765	0.0649264459937	0.500851307916	0.218568875617	0.191993327425
k	0.0261847575065	0.039064365451	0.364406642325	0.293815669272	0.276528556335
a	0.0397726458312	0.0432511231727	0.241537866862	0.357382866491	0.318055498178
l	0.0349916741737	0.0402247630556	0.198709098994	0.404970611764	0.321103857326
ò	0.0197287986179	0.0199899897832	0.174186916571	0.464783664675	0.321310638775
</S>	0.014970129677	0.0144172571916	0.195907421186	0.478981861467	0.295723333988
