 	tutto	il	cibo	vuole	girato	</S>
ò	0.901209129	0.081108714129	0.010662460555	0.00184635630512	0.00121076166121	0.00396255304337
l	0.785959381	0.179543223634	0.0184769131623	0.00353977130104	0.00213943244409	0.0103412514797
o	0.551690938733	0.349697029391	0.0612762576074	0.024473231144	0.00268800144123	0.0101745127908
o	0.273613038404	0.500133252464	0.170144176022	0.0383696931383	0.00737521162781	0.0103646053441
m	0.114485200028	0.570064293488	0.252390174941	0.0382577544394	0.0102465760311	0.0145559843145
a	0.055864344316	0.517065055163	0.29061017498	0.10322667362	0.0135653800913	0.0196683642225
r	0.0313853437987	0.364088370521	0.369012658327	0.196820576927	0.0159804540756	0.0227126120292
ì	0.0158164729749	0.216832533174	0.492525210776	0.250202904176	0.0102918335139	0.0143310874491
o	0.010627221167	0.098692335918	0.542219296659	0.327642829392	0.0111079539633	0.00971038556237
t	0.00704109233567	0.0417097550927	0.4875252073	0.425237947797	0.0281528350478	0.0103331497208
è	0.00363432218922	0.0181467809416	0.36348505838	0.559404463266	0.0460879255559	0.00924142466693
l	0.00188379582974	0.00848431906853	0.241981338457	0.625554310422	0.106561198267	0.0155350263396
i	0.00594366472591	0.0148528043968	0.167166090683	0.558524416141	0.19143351519	0.0620795000905
v	0.0133830378366	0.0176307720409	0.093199142009	0.509564142714	0.275045371217	0.0911775167635
o	0.0149419782113	0.0164324350823	0.0617150051173	0.466976456571	0.335012207359	0.104921905721
t	0.010010234035	0.0141385435828	0.0432427878734	0.428596304524	0.37533232512	0.128679787507
i	0.0065038945504	0.00949271961273	0.0232225995909	0.336601475575	0.44146624704	0.182713043702
m	0.00514815710347	0.00881743841778	0.015170233645	0.229407280798	0.52678996368	0.214666913901
m	0.00356186528156	0.00970987495013	0.0116748155767	0.200869963473	0.53470624256	0.239477219634
è	0.0103729734096	0.0113253273791	0.0126035651869	0.139487547058	0.514658054853	0.311552508278
n	0.0174245366874	0.0242211267814	0.0344850610123	0.0741060122527	0.569861746284	0.279901500759
o	0.01619788561	0.0400859266675	0.0502921362381	0.0603698212709	0.456328419028	0.376725799053
</S>	0.014726887465	0.0417557310197	0.0426624797691	0.0571831739154	0.313619633914	0.530052083727
