 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
o	0.715283424	0.23982496916	0.0111263934197	0.00829739506165	0.00262204162871	0.000684172667042	0.0027752519769	0.00104471145751	0.00229972261	0.0052559254107	0.0083010548504	0.00248492263488
m	0.493815539533	0.44315889152	0.0208307990986	0.00868857899055	0.00609341036584	0.000751201604967	0.00281663957243	0.00105471599192	0.00236958625547	0.00541863552932	0.00872845183077	0.00627354336625
a	0.315301344044	0.57534791764	0.0605877659915	0.00459313141285	0.00763032124594	0.00368664926876	0.00160531407821	0.00122453699969	0.00125740510859	0.00221183716115	0.00360852934112	0.0229452629717
r	0.16709026921	0.63798828708	0.148754848411	0.00527523292828	0.00520914995704	0.00468825754385	0.00121141725286	0.00127099214013	0.000861774179127	0.00110559698154	0.00165645158274	0.0248877438891
ì	0.0921310182853	0.65808267616	0.227399447004	0.00684933702676	0.00261346600653	0.00173507569541	0.000531321257447	0.00045829976816	0.000370465721146	0.000531468494875	0.000790001483493	0.00850743323854
o	0.0539601037351	0.631250985653	0.289216606468	0.0182286695396	0.00179777236329	0.00126863316687	0.000407240816376	0.00022617362286	0.000169515968635	0.000219327139177	0.000290300119378	0.00296467394978
t	0.0202526818317	0.520716437898	0.405887336156	0.0401199635399	0.0088189287831	0.00151918486002	0.000448762929259	0.000240885943549	0.000152818163818	0.000185177092371	0.000452482231899	0.00120533862286
è	0.00904828150057	0.327709061539	0.582739047385	0.0649355028666	0.0121053174857	0.00145712070334	0.000470645482153	0.000224125306154	0.000128804661983	0.000146329275581	0.000490503477462	0.000545271133512
l	0.00493918642352	0.225423442686	0.653385089128	0.0971649286222	0.0149982026546	0.00167525652911	0.000616230248518	0.000344278870791	0.000259975285612	0.000166924819862	0.000527845626646	0.000498661980033
i	0.00845735627184	0.161520380749	0.556256807043	0.239815734607	0.0253879280715	0.00393393929637	0.00182138482244	0.000693547850337	0.000590488353321	0.000274709062387	0.000577352236472	0.000670399363004
f	0.00933721550295	0.0749268297163	0.504915429014	0.351908212936	0.0459143099372	0.00667301842546	0.00254248724215	0.00100265475738	0.000720863803907	0.000340303068096	0.000997810777111	0.000720885694972
a	0.00511767799952	0.0380958546814	0.418779174338	0.462706307045	0.0591467528191	0.0100103790458	0.00234903069538	0.00092712985028	0.000535754987102	0.000301787162029	0.00111064186597	0.000919512228071
m	0.00380404006137	0.0179496467331	0.293037316646	0.568498520348	0.091336844753	0.0179551803059	0.00322756533179	0.00128645793945	0.000568735452967	0.000353252790673	0.000756886729485	0.00122555143467
è	0.00339028256632	0.011326622891	0.215463217682	0.619054391449	0.117686326051	0.024367361342	0.00429982203726	0.00161991113102	0.000691896022456	0.000386216586858	0.000668672832415	0.00104527844739
n	0.00426980436331	0.0120447450183	0.173689710561	0.608121681816	0.154112199417	0.0356657318807	0.00583544341909	0.00190657709354	0.00107218414229	0.000326211142919	0.000560419395058	0.0023952945543
o	0.0119166219651	0.0120412116501	0.12927644376	0.474814589939	0.226176963139	0.11082596846	0.0229938254664	0.00456881274451	0.00253578279143	0.00106151996764	0.000683302175286	0.00310496449557
a	0.0147558948277	0.0064831286007	0.0512817078187	0.344062654113	0.266691615846	0.217455387687	0.0746922099088	0.0115339610415	0.00476013093314	0.00432643689655	0.000926870700315	0.00303000888768
p	0.00864144924567	0.0038784687095	0.0251026837849	0.229323919838	0.387101040082	0.226860707829	0.0883871533696	0.0157702335672	0.00481839537571	0.00520901814885	0.00154728516749	0.00335964958958
p	0.00499994281041	0.00299755108417	0.0152872907676	0.177019175679	0.530751302694	0.185435503343	0.0570274610165	0.0144318274291	0.00400030228124	0.00363499117762	0.0015819277176	0.00283272094273
