 	la	casa	la	costruisce	il	mastro	</S>
o	0.756951832	0.20013574889	0.0080312691011	0.00199213919672	0.0017725661552	0.0147404359058	0.0163759883669
s	0.510706433533	0.43657016563	0.012814612609	0.00417781139757	0.00185810229593	0.015407790306	0.0184650799934
p	0.274215967244	0.67711972721	0.022696740323	0.00515151149119	0.00190278003878	0.0101543465686	0.00875893020346
ì	0.131256760595	0.800971763737	0.0508911674743	0.00350886682273	0.00203214998007	0.00784142281623	0.00349786379262
t	0.0813507089583	0.760858792579	0.137714125158	0.00851423259991	0.00213348226996	0.00568514878687	0.00374350963753
i	0.0724875873454	0.560604731526	0.327488615053	0.0127050660333	0.00970691566352	0.0110327629461	0.0059743193046
o	0.0525480508645	0.305174076842	0.570367944351	0.0345053805578	0.0140285116092	0.0127890004778	0.0105870320674
f	0.0234931329402	0.159564822547	0.685082646784	0.103440365386	0.00938038826973	0.0077587222666	0.0112799178277
a	0.0206547536354	0.103962447249	0.652923856928	0.192932604995	0.0120098179766	0.00563292224687	0.011883592648
b	0.0186051992651	0.056713131443	0.571956706976	0.313078136732	0.0181133934322	0.00588965207496	0.0156437705788
b	0.0334967332284	0.0440428811477	0.499289305992	0.354411846777	0.0356473100507	0.020296678227	0.0128152162943
r	0.0597534346548	0.0523163368692	0.455290592997	0.316938681726	0.0645554672836	0.036488681291	0.0146567737494
i	0.0665677313389	0.0441976327537	0.327795032999	0.318088191042	0.138691193828	0.0645590706063	0.0401011236598
k	0.0482473609749	0.0216282607352	0.196224578533	0.418039146547	0.169638829943	0.0959866617381	0.0502351285866
è	0.0485626338596	0.0215941822597	0.146185929171	0.456965614049	0.218605721648	0.078052756166	0.0300331238489
i	0.0782961018945	0.0512748367079	0.10696682715	0.321322660016	0.369116220549	0.051660433702	0.0213628886363
o	0.0672013002982	0.0525481857433	0.0617871286607	0.201092527472	0.467950503983	0.110202242967	0.0392181016454
m	0.0382141600411	0.0314762628324	0.0350833265509	0.142290165757	0.493582561328	0.163368541522	0.0959849893485
à	0.0316074780008	0.0427564541781	0.043294182121	0.0964323766857	0.465859379309	0.204171302574	0.115878834116
s	0.0241003727207	0.0388862204006	0.0374664403317	0.0752839423819	0.411909850303	0.279139639458	0.133213549452
c	0.0284887124886	0.0282793735648	0.0539769873246	0.0657790246006	0.298664445034	0.338421196486	0.186390281964
i	0.0371193151829	0.0275784651683	0.0696402351909	0.0351571392495	0.208354550545	0.388916653562	0.233233661655
a	0.054082227301	0.0280426850094	0.0525038167836	0.0300692202885	0.148970896839	0.368219421187	0.318111742218
</S>	0.0773503041405	0.0343042763247	0.0508738721078	0.0385445271083	0.0950725900055	0.331441099593	0.372413329109
