 	il	morto	si	piange	</S>
o	0.886527654	0.069311538436	0.0126925264703	0.0177781968101	0.0136901296335
a	0.732970339467	0.210635873779	0.0145925510701	0.0211029602237	0.0206983045246
p	0.508448559409	0.437948779926	0.01308645891	0.0205860384992	0.0199301704752
e	0.335171379856	0.599348345975	0.03171584829	0.0192949331917	0.0144694875776
t	0.202883489142	0.718526549992	0.05244128875	0.0149826344399	0.0111660100015
a	0.114112211777	0.771105638664	0.0886573179033	0.0148091706133	0.0113156381558
m	0.0727087240323	0.719739084221	0.134168601101	0.0542412255978	0.0191423637253
m	0.0580316979814	0.628494273074	0.167499839167	0.0843338191526	0.0616403844974
è	0.0778810363558	0.475335540025	0.302329407389	0.0584188096842	0.0860352282135
n	0.0560751560033	0.479548025342	0.34422249053	0.0588215699281	0.0613327708536
o	0.0985625544938	0.400818933794	0.30106631491	0.121205852376	0.0783463349283
i	0.118283080317	0.171922808391	0.33819580897	0.202697089725	0.168901201643
k	0.048825203419	0.0820341105237	0.327125727837	0.350931410975	0.191083554014
l	0.0240539659386	0.042682350595	0.239929063426	0.458379720992	0.234954902674
è	0.0197789165598	0.0288920302281	0.148947818309	0.523092488331	0.279288747827
e	0.0162214212279	0.0348592119654	0.127575878496	0.505822198577	0.315521292076
t	0.0112246623684	0.0376868607225	0.106912005772	0.546873533326	0.297302936559
e	0.00967868249327	0.0232388886122	0.101967012211	0.569628130242	0.29548728492
</S>	0.0123348835636	0.0218547342621	0.118724583916	0.463468653821	0.38361714236
