 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a	0.6281540384	0.34953407159	0.0092091062584	0.00232516630301	0.00438326761617	0.000308184573513	0.00281167664746	0.00327450188272
p	0.453470656853	0.508578383063	0.0224818219861	0.00348910667016	0.00466511240327	0.00032159740428	0.00301282499641	0.00398053552537
e	0.349063679051	0.608728997821	0.0269052358287	0.00695890051212	0.00255879988369	0.0013623419614	0.00141214594833	0.00300993267749
t	0.269518237681	0.68144773594	0.0325377065629	0.00933285498584	0.00183564672936	0.00176391835699	0.000864340798914	0.00269957772553
à	0.198545894284	0.69763027398	0.092266085941	0.00742904108741	0.00113548302681	0.000707731373953	0.000605208944338	0.00168029663757
c	0.112467315375	0.71011302686	0.12088523458	0.00596454890914	0.00129603145756	0.000524549600881	0.00222758270727	0.0465217291097
i	0.10308483123	0.539719395687	0.258009657593	0.029519346683	0.00285171823652	0.00213264934287	0.003049297572	0.0616331090323
a	0.087878190616	0.265608447129	0.470752543398	0.117708577074	0.0136100904795	0.0157299417016	0.00200627980969	0.0267059209542
k	0.0398756105013	0.12836613551	0.578556792466	0.174050178625	0.0267233101298	0.0196909863515	0.0118666058302	0.020870377365
è	0.0264332534731	0.07360456489	0.661314685489	0.170098126942	0.0300799884833	0.00897517982475	0.0157722933927	0.0137219153539
c	0.0583419000294	0.0637388637167	0.60488012683	0.182886701914	0.0426807303344	0.00592663163784	0.0130751246542	0.028469926998
c	0.112022209977	0.0843238723336	0.41140313041	0.250789954705	0.0700039158315	0.0109102129824	0.0153918960121	0.0451548228211
i	0.112823807925	0.0727487246965	0.237946723937	0.410908293568	0.0912003792638	0.0317702573373	0.0143112880394	0.0282905446074
a	0.0719246210801	0.0443175797555	0.136669616712	0.527278369856	0.0986230551546	0.0730688547811	0.0129690389425	0.0351488697873
a	0.036667622196	0.0324294689345	0.0745698791707	0.515535062152	0.138460012385	0.110690193676	0.0116992660062	0.0799484886866
n	0.023755412105	0.0219379954627	0.0401011772102	0.416372804871	0.246856108995	0.099242935332	0.0677815031847	0.0839520419645
d	0.0226030878201	0.0286584417901	0.0505225332701	0.297932481977	0.289767688885	0.0775202821107	0.179215896728	0.0537795859282
ì	0.0149735606655	0.0262201492114	0.0482311649527	0.202741818326	0.367641466848	0.137774730837	0.170646018419	0.0317710997567
n	0.00869842594003	0.0155338849285	0.0235211730402	0.165206999395	0.471769039616	0.160607948879	0.13251268865	0.0221498417796
n	0.0282965483055	0.0291226100919	0.0398132883696	0.180735643685	0.385233034205	0.133228905026	0.138431833443	0.0651381380665
u	0.0363897126438	0.0332045590943	0.0490367682127	0.139912775628	0.272358847068	0.262337252742	0.116944087041	0.0898159962422
n	0.0171617063931	0.0224925726465	0.0272504150816	0.0724198829293	0.266307150956	0.305247998781	0.221717641947	0.0674026382474
e	0.00964091683023	0.0169865403745	0.0192946756041	0.0391615649498	0.226862750319	0.335934654794	0.289765089649	0.0623538220158
i	0.00871524147608	0.0124568508348	0.0230529552023	0.0214434189366	0.144013605106	0.489852877998	0.23238529935	0.0680797680719
g	0.00625778875509	0.0132559384779	0.0182562193624	0.0124039370012	0.0953412505353	0.463054053367	0.322950133917	0.0684806919906
e	0.00541103024143	0.0143783008456	0.0120867576645	0.00940528299607	0.0629558008118	0.40040382067	0.421441893306	0.0739171163835
n	0.00432118973234	0.0141601855486	0.00878061826775	0.00661787175002	0.0473082694706	0.343759616714	0.492802205769	0.0822500389478
i	0.00331288103465	0.0124131132762	0.00464907246416	0.00512884446934	0.0380883500969	0.261322471635	0.542898787923	0.132186485543
t	0.00294072835162	0.0109701143623	0.00331540247919	0.00429260355245	0.028802895099	0.21712754573	0.579827229974	0.152723479474
ò	0.00192841815861	0.00897361535103	0.00280917269486	0.00319990131415	0.0160975720397	0.152954280341	0.670300064658	0.143736943158
r	0.0016771668414	0.00737182183623	0.00247132060167	0.00287895859538	0.0106933507732	0.111855119694	0.733312723553	0.12973951555
i	0.00158853830233	0.00932865732463	0.00799500608794	0.0168456841171	0.01153961178	0.0931068815413	0.573678252184	0.285917358347
</S>	0.00189951661117	0.0100658231223	0.014212713894	0.0310866652135	0.0141573116534	0.0794621299656	0.372291056592	0.476824763173
