 	non	aveva	dove	a	stare	</S>
e	0.6711635874	0.20831908944	0.0181538043015	0.00167859251957	0.00214761695311	0.0985373295425
n	0.402429985	0.460100108147	0.0237568952872	0.00207265619052	0.00435720939284	0.107283168214
ì	0.155803265547	0.749869653382	0.0378967163624	0.00209726715484	0.00501289908701	0.049320200128
c	0.079912604831	0.802426151127	0.0532906385208	0.00450124351595	0.00667930664194	0.0531900350209
h	0.0707010536986	0.720986063042	0.13017499404	0.00905281778632	0.0125381581313	0.0565468888829
e	0.0438478142925	0.454179397101	0.434308670347	0.0255226392021	0.0154214196144	0.0267200470516
p	0.0770308675588	0.173586007687	0.590122211182	0.100692388314	0.0418031918981	0.0167653303039
u	0.0924345451876	0.0759575992583	0.378926545794	0.270868481418	0.115261468566	0.066551339708
s	0.0440102900649	0.0360562733688	0.186625617731	0.365385702739	0.231305564922	0.136616537236
t	0.0263935965869	0.0198839448963	0.10861396311	0.36580791718	0.340390513974	0.138910078345
a	0.0145361571973	0.0148105803071	0.06290218827	0.322590361993	0.421490150058	0.163670586048
t	0.00709808062863	0.010903078848	0.0321370628367	0.242436139131	0.477618978886	0.229806690976
ì	0.0390369877397	0.006197694156	0.0167619555009	0.156926345684	0.480825898762	0.300251148585
</S>	0.0739273436588	0.004898731352	0.00985593171345	0.093080705502	0.469355628381	0.348881677243
