 	entrò	da	qui	</S>
m	0.941388082	0.0169626245119	0.0376227233499	0.0040265897493
b	0.832046372	0.0584230308506	0.0993310266373	0.010199580485
ì	0.5649026546	0.305542418084	0.111535588753	0.0180193290863
k	0.362282267467	0.437446386028	0.145629996651	0.0546413267201
e	0.251123495038	0.427514728009	0.24032279657	0.0810389586467
a	0.114566148395	0.424148474536	0.38047387401	0.0808114822822
p	0.0501739515963	0.310999910152	0.50370248907	0.135123641249
ò	0.0218364197414	0.249432725757	0.55092665149	0.177804218729
t	0.0100263959205	0.164206095119	0.670046896297	0.155720631268
t	0.0188980879632	0.0711141827823	0.748019449432	0.161968288087
u	0.0372187174368	0.0573146625934	0.576949466744	0.328517156693
</S>	0.0431870030504	0.0735005475817	0.411689771772	0.471622678746
