 	non	mangiare	la	sera	</S>
m	0.42491744764	0.31943259217	0.036006810295	0.141018260933	0.078624853779
i	0.194836163573	0.51074415639	0.0503123825317	0.153736813102	0.0903704461363
f	0.117128034298	0.62362889013	0.115822317404	0.0812482323987	0.0621724988134
a	0.0777868175393	0.581639667377	0.238698393175	0.0518496662796	0.0500254491798
i	0.0500257128304	0.433734764192	0.381261217392	0.0733036734265	0.0616746377239
o	0.0303148695675	0.241111938304	0.429816755531	0.209001782409	0.089754659508
v	0.0276483073956	0.184924117565	0.383467103177	0.299181989136	0.104778487569
r	0.0211493185197	0.145561046421	0.383258213326	0.280583449512	0.169447982143
à	0.017704964728	0.078346362883	0.371962104242	0.352808230637	0.179178340754
i	0.0301344610027	0.0619362559343	0.264235480347	0.440555972212	0.203137832271
</S>	0.0395347718413	0.0653992337271	0.174547172873	0.447512104106	0.273006731136
