 	avete	cucinato	le	verdure	</S>
e	0.936421466	0.02368127207	0.0019232971777	0.019121067462	0.0188529082697
m	0.753958062667	0.16313752629	0.0105036493166	0.0335000102629	0.0389007798351
a	0.602735484889	0.28019451223	0.0189152118655	0.0344871459584	0.0636676672066
r	0.463548868563	0.40857718321	0.0321569283818	0.0293653925436	0.0663516499892
è	0.273308007654	0.61293999207	0.0551029607273	0.0206067795573	0.0380422822286
s	0.199118240551	0.67968042029	0.0806895302424	0.0146344408018	0.0258773784071
s	0.123233655464	0.701907250363	0.128886816014	0.0231768452173	0.0227954594635
a	0.0620647650813	0.580691186788	0.296814029005	0.0419854251118	0.0184446233957
t	0.0452273719598	0.391592059663	0.469583790535	0.0679556753599	0.0256411147452
o	0.0491362693926	0.252802773721	0.489190193045	0.14637815978	0.0624926159284
t	0.0441993944362	0.124201436387	0.479150623682	0.248489753853	0.103958782269
a	0.0360844807881	0.061127875109	0.439678331427	0.315096724618	0.14801256809
l	0.0330268323067	0.029127718843	0.362533372676	0.393798958873	0.18151310903
à	0.0245492267689	0.0148050782739	0.275077889299	0.481381198504	0.204186602097
c	0.041314662329	0.00683546248883	0.156402292373	0.591918610381	0.203528958319
h	0.0439350530201	0.0138658391029	0.0869708510557	0.715479978127	0.139748266532
a	0.0240327097987	0.0211199610856	0.0610376659952	0.598398502576	0.295411144576
n	0.0271715396704	0.0174584793337	0.0484479124893	0.503541524325	0.403380519032
a	0.0875728338721	0.0217209001489	0.056464597046	0.475807878242	0.358433776811
</S>	0.139119088414	0.0269158967573	0.059811857479	0.375024674921	0.399128475105
