 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
k	0.76258294	0.151895348826	0.067057179456	0.0060702848948	0.00195984793332	0.00438270982948	0.00107062479049	0.00498109419631
a	0.755209692	0.158675978155	0.067838221952	0.00593255031893	0.00208116361537	0.00433792945017	0.0010350309408	0.0048894514392
n	0.706824013533	0.240950723218	0.0390003502773	0.00512707300098	0.00127699118632	0.00235538073826	0.00178014739203	0.00268533698257
è	0.543200925378	0.408218070606	0.0370726761858	0.00504848118299	0.000867980346573	0.00166512098111	0.00199708711635	0.00192965753081
n	0.490540423993	0.441850826869	0.0525234581086	0.008183964197	0.000909373276924	0.000653943681127	0.00142568629459	0.0039123113215
a	0.333963871398	0.565046636756	0.0782323020562	0.013889439417	0.00150200773771	0.00133644599624	0.00139581395738	0.00463348174217
s	0.151156193195	0.674951126919	0.136077340219	0.0226087023237	0.00208983318397	0.00184685747675	0.00712140017118	0.00414854987566
t	0.082036586215	0.617019280973	0.243016076246	0.0351003020012	0.00450825368599	0.00146149154992	0.01283051496	0.00402748957046
o	0.0389695939597	0.534620812991	0.372943580922	0.0356991688337	0.006250746594	0.00131555934324	0.00844740305064	0.00175313179863
t	0.0314227342612	0.378733635264	0.493754444974	0.0730576346512	0.00677275805	0.00182021548015	0.00998790333375	0.00445067671607
e	0.0259373669777	0.207770648155	0.624153105658	0.11362592495	0.00746758815427	0.00186715050712	0.0105128185179	0.00866539751759
l	0.0143057299906	0.107430523252	0.696665551886	0.15506058665	0.00953299794902	0.00222430841611	0.00696070148757	0.00781960253142
è	0.00711953543887	0.0576338301107	0.699412131295	0.20913020755	0.013682811523	0.0029563634907	0.005968641494	0.00409647957177
f	0.00563939741002	0.0330548850502	0.647561823098	0.275846837183	0.0234186924543	0.0030105502079	0.00590278324941	0.00556501787564
o	0.00664803762041	0.0264281978541	0.482048949299	0.387727780394	0.0650573559514	0.017174595447	0.008045036679	0.00687002863235
n	0.00558827900987	0.0174070959626	0.351773714633	0.485676667465	0.0957268347171	0.0247444729843	0.0143725721145	0.00471035713732
o	0.00347161484969	0.0101703027483	0.251119148478	0.548954465155	0.138693547906	0.0244060502368	0.0180910223581	0.00509383736991
t	0.00224621805741	0.00582174153197	0.161110636726	0.599544893052	0.177540189169	0.0284099603223	0.019853159218	0.0054731869083
è	0.00175527974465	0.00272821922159	0.112292257195	0.582111355684	0.230930921723	0.0475519052508	0.0184453195687	0.00418474006253
l	0.00172352503455	0.0016927915514	0.082447068185	0.527643630561	0.310062256574	0.0525523844409	0.0176361741216	0.00624217061061
i	0.00221085797718	0.00337471896607	0.0598395390163	0.387912424654	0.401807544858	0.112556138004	0.0232715838159	0.00902718899374
n	0.00313288432419	0.0039807636309	0.0340076224714	0.253115270018	0.498830634953	0.158063848588	0.038718729536	0.0101502420619
a	0.00278612917186	0.00281073937725	0.0220384728185	0.189641416806	0.459439616318	0.253568282783	0.057611149992	0.0121042013693
t	0.00201968600655	0.00214462372882	0.0127180571373	0.116654200069	0.424230678106	0.335205287061	0.0880001896107	0.0190273068918
s	0.0024855550846	0.00124467649092	0.00893584050643	0.085888859803	0.413173242035	0.324624549154	0.0998588763569	0.0637884282973
è	0.00217837853201	0.000833013665176	0.00505118797368	0.0527598930343	0.355778297345	0.431261127051	0.0730278413856	0.0791102799058
r	0.001452446634	0.000629739175745	0.00489410832456	0.0375702698648	0.373093951782	0.40456720715	0.129248809709	0.0485434741819
i	0.00205858656333	0.00278771475652	0.00658418947419	0.0296651158616	0.307323816927	0.409712630517	0.174596037343	0.067271914314
à	0.00238120085818	0.00425477171591	0.0053862926838	0.0166349144685	0.153666796002	0.513895288172	0.185968585888	0.117812161138
t	0.00188422928879	0.00257430733554	0.00341667076387	0.0099541588175	0.083295593294	0.415905238991	0.369837851296	0.113131940939
t	0.00171396865398	0.00285136923634	0.00532023895392	0.0117071161267	0.0862986436047	0.319423120597	0.456957061032	0.11572846444
i	0.00145143881205	0.00332883517904	0.00605708690907	0.0124135039031	0.0803244899016	0.304677206866	0.322880358944	0.268867067613
n	0.00106545191848	0.00186516757538	0.00337614429972	0.0063270370627	0.0390916099939	0.208727752129	0.450799214315	0.288747627471
A	0.00141001521396	0.00110955295416	0.0023705518266	0.0034254011659	0.0207300315913	0.132222175483	0.624670620105	0.214061674357
n	0.00129111251952	0.00104694908187	0.0022895623782	0.00255212619997	0.0126425778638	0.105682407981	0.629941126702	0.244554151519
n	0.00252043005234	0.00321761371427	0.00214144377887	0.00470117424062	0.0153462781966	0.105961349346	0.524748463567	0.341363260373
a	0.00290043973375	0.00512938271259	0.00215862971443	0.00758367045684	0.0205240602315	0.137370200728	0.296992580789	0.527341042391
</S>	0.00168957663187	0.00496357518629	0.00258230702922	0.00759834638442	0.0192736204617	0.138385488584	0.205549549794	0.619957528596
