 	Marika	è	che	si	sposa	domani	</S>
M	0.896225684	0.055356337872	0.0249278448116	0.0035735584724	0.0017735030177	0.0135670696077	0.00457598807445
a	0.82443738	0.0664692550107	0.0296865894545	0.0069741460899	0.00288542852977	0.0162282841024	0.0533189040404
r	0.665620422733	0.168706570497	0.0763749250955	0.0096959917924	0.00334231040912	0.00921283686355	0.067046943059
ì	0.408536821031	0.374075468126	0.165164457832	0.0194354405428	0.00467302415911	0.00425392521945	0.0238608656505
k	0.263156416124	0.410749639242	0.209106102344	0.0723767878196	0.0119698440771	0.0146394140436	0.0180018035189
a	0.185999882668	0.333740091347	0.283973367515	0.131271947807	0.023734386619	0.0208016328577	0.0204787136678
è	0.088312183876	0.277859241116	0.402094696505	0.155777851402	0.0329513001383	0.0222616026004	0.0207431380349
n	0.035293824562	0.202011417219	0.403075575502	0.226826047934	0.0384160690448	0.0746876946748	0.0196893635826
a	0.023619778424	0.119696380913	0.296141599034	0.312194835978	0.124412320795	0.0919420996316	0.0319929810782
r	0.018977696106	0.0610243205043	0.217730859545	0.332151727326	0.252914288532	0.0643343890305	0.0528667144727
m	0.0124605092213	0.0376610233754	0.194570613655	0.296325654242	0.284640555091	0.0810041695302	0.0933374583376
a	0.00981601774177	0.0248577508791	0.14251243342	0.208959062814	0.397260412344	0.10259247351	0.114001842826
s	0.00549425962226	0.0202621234558	0.0771098940907	0.123092934071	0.499897946781	0.164158801837	0.109984042075
t	0.0202252026444	0.0231814381971	0.0552511354766	0.0794791999237	0.447054081994	0.220053103232	0.154755840092
ì	0.0247644647581	0.0177745096824	0.0375954294119	0.0644500668006	0.393227881598	0.291376068097	0.170811572831
à	0.0107118811674	0.00759894057773	0.0190454196796	0.0436258974123	0.275589871639	0.522277911366	0.12115006109
v	0.00547676423	0.00306076891384	0.00704274590533	0.0175139878477	0.13745204058	0.763521149122	0.06593253659
v	0.0063943197902	0.00691105308195	0.015044193147	0.0168884387787	0.0872393268533	0.741046403841	0.126476259743
r	0.0204196276234	0.0214597528504	0.045009305925	0.0370769024849	0.0911723429711	0.515094555947	0.269767509448
i	0.0469610525338	0.0258308816765	0.0494261596963	0.040975306995	0.083759958797	0.332649491716	0.420397151683
</S>	0.0629789522649	0.0207541549312	0.0351428956362	0.0310839866175	0.0663468138785	0.271673816658	0.512019379842
