 	io	non	ho	niente	da	mangiare	</S>
e	0.92637769	0.06590171864	0.004300889078	0.0014591873	0.000248044919666	0.000501661304197	0.00121075247168
v	0.8563730542	0.07011521818	0.0602860890913	0.00732112827173	0.000532438954022	0.00218563041564	0.00318640362123
ò	0.628640176733	0.2490702728	0.0983170472171	0.0166465072679	0.000781070020007	0.00273379813041	0.00381113613588
e	0.358924356444	0.419700134133	0.133924058699	0.0372173170693	0.007007294292	0.00816742582387	0.0350594279694
n	0.166905366548	0.329005664258	0.29773842994	0.0522341456231	0.0106461766387	0.0792191210766	0.0642510748248
è	0.0801689742827	0.198202551433	0.38394308642	0.189994460341	0.00918605814223	0.0971293957394	0.0413754391082
c	0.0538154008342	0.123772387544	0.37474314672	0.300995733114	0.0113451317474	0.104174952817	0.0311532258978
h	0.0398624639547	0.0551745708547	0.342171717287	0.408847926371	0.0166297590358	0.109066105132	0.0282474598416
o	0.0222103032949	0.0287581023316	0.207209354896	0.63926514079	0.0456583199919	0.0435887654833	0.0133100109637
t	0.0105396594423	0.0175298533372	0.0899653195653	0.721362041597	0.0902661341773	0.0498213383678	0.0205156332026
ì	0.0076447105161	0.0105571869324	0.0465860197418	0.641422955999	0.199799657506	0.0665266914559	0.0274627668129
p	0.00626874745023	0.0073283342428	0.0232290105893	0.556510105466	0.281694319502	0.0963184768586	0.028651003705
o	0.00558669081694	0.0073666011796	0.0137875102651	0.422513516755	0.351728554167	0.15050659746	0.0485105454917
t	0.00577637791689	0.0082395460536	0.0120665824504	0.262142167985	0.405466256722	0.219005259087	0.0873038307239
i	0.00472568232487	0.00800667702227	0.0117116521795	0.15718141376	0.376690304241	0.324641953362	0.117042332068
n	0.00525912575809	0.00836645914196	0.0117402637221	0.078513021808	0.34005892248	0.403116423787	0.152945804249
a	0.0065176363425	0.00819501328919	0.010638051492	0.0434456859633	0.25688348276	0.511287019929	0.163033121283
f	0.00603801236855	0.00723935799021	0.00944949912647	0.0254816216924	0.17335812552	0.584102022643	0.194331360488
à	0.00457303701903	0.00543063908228	0.00719362182536	0.017693836628	0.107977777327	0.659578891548	0.197552188849
o	0.0188200672081	0.0171828914738	0.0103615433949	0.0140703768492	0.0690811777623	0.608263133183	0.262220799616
</S>	0.0323307811921	0.0287720082419	0.0144152925414	0.0184067151886	0.0632282532312	0.469120396591	0.373726543508
