 	che	consuma	poco	benzina	</S>
n	0.91329071	0.022829616008	0.0268752534659	0.0149541463761	0.0220502864982
a	0.762217922667	0.169415943776	0.0314158582743	0.014914956074	0.0220353304152
k	0.556641214222	0.373307562192	0.0294823447914	0.0278539073402	0.0127149696481
o	0.376977929207	0.518362455664	0.0504843906638	0.0327545207782	0.0214207072581
n	0.254621092602	0.616118979688	0.0663873892879	0.0364843151755	0.0263882171247
s	0.169845135134	0.631545419696	0.136524610896	0.0443350516932	0.0177497717963
u	0.111165470765	0.618026944832	0.231234161632	0.0286094800197	0.0109639389322
m	0.081730158415	0.637043250764	0.215864058544	0.0499825198352	0.0153800097961
è	0.0475474053157	0.584666602208	0.297222198848	0.0534563062331	0.0171075002944
t	0.0255522317612	0.515334306156	0.351815058283	0.0676708415524	0.0396275747298
s	0.0243122028191	0.524081934005	0.298873794761	0.0984683506041	0.0542637014673
i	0.0257315512864	0.368518212535	0.436276078254	0.123430386821	0.0460437461571
a	0.0188499309288	0.147875288818	0.591071643018	0.19081923336	0.0513838931324
l	0.013939809508	0.0574115443527	0.553709550139	0.306471278587	0.0684678254575
ì	0.0225202268784	0.0335156554509	0.493522388246	0.380154283996	0.0702874556592
o	0.0236173632035	0.0216760496043	0.367074155949	0.496517944665	0.0911144887264
b	0.0121950329206	0.00910176885877	0.213043787116	0.636768254222	0.128891161575
e	0.016446036682	0.00804536602292	0.166123497032	0.635957426741	0.173427684618
n	0.0197353165997	0.00874429362564	0.108001898977	0.641364456914	0.222154047899
z	0.0148784079908	0.00861644015621	0.0622838945883	0.640300997638	0.273920260966
ì	0.0115446445538	0.00730128987307	0.0339322666921	0.589660692546	0.357561087189
n	0.00935437275393	0.00583587055036	0.025927377464	0.615739949515	0.343142418996
a	0.0267822290113	0.0212018148181	0.0403681493813	0.492078430105	0.419569376265
</S>	0.0453176260156	0.0353863014491	0.0511467273907	0.317530048452	0.550619290533
