 	io	non	ho	cosa	da	mangiare	</S>
e	0.92860314	0.06404121554	0.003451800555	0.0011279475791	0.00036129590232	0.000693357202847	0.00172128072924
v	0.853160733867	0.075805154678	0.0545158629883	0.00513038093417	0.000684964160573	0.00512370272418	0.00557922410911
ò	0.614978049089	0.256884719351	0.0953731980294	0.0178331536912	0.00123880734619	0.00674287908453	0.0069491767049
e	0.340137474763	0.418307413584	0.13611442841	0.0534171187571	0.00818241217806	0.0103567932608	0.0334843151853
n	0.159209141554	0.312527825701	0.288131814063	0.0688785517457	0.0147422262447	0.0858728522996	0.070637558946
è	0.0831318459247	0.17316357734	0.379929129948	0.183963823609	0.0188375852642	0.107074868665	0.053899175495
c	0.0613710444416	0.108724889653	0.369683424196	0.250287213936	0.0304013402247	0.121422784466	0.0581093160507
h	0.0473281031763	0.0492239587717	0.292248962279	0.390099520579	0.0329189277849	0.128654551809	0.0595259973271
o	0.0271838873212	0.0234792924246	0.161097309226	0.574933002193	0.112984507635	0.0737130784163	0.0266089554012
t	0.0143388032545	0.0141177655375	0.0783151658753	0.529411464064	0.198919189412	0.126820248339	0.0380773717477
i	0.0114554171989	0.0117616470685	0.0448205549951	0.356230776688	0.354579378004	0.17069888238	0.0504533409566
è	0.0124515852463	0.0121735420375	0.0337195536484	0.148540950363	0.517836408668	0.219671425793	0.0556065424122
n	0.00703323970357	0.00755864939103	0.0201018050981	0.0607801718877	0.491773143489	0.341795823264	0.0709571923641
a	0.00514173328932	0.00749341844754	0.0165387733784	0.0284904040492	0.35653058923	0.457216964421	0.128588137455
f	0.00525880459677	0.00789050327991	0.0168028805222	0.0138428934564	0.20477737801	0.55614892614	0.195278604585
à	0.00517568429728	0.0064047751647	0.011883738689	0.00718026925347	0.11416725029	0.683806410047	0.171381864722
o	0.0162408932338	0.0189888925316	0.0209438233882	0.00810038174916	0.065227999984	0.605503413082	0.264994599734
</S>	0.0263222026419	0.0311326857098	0.0309340853381	0.0104107531996	0.055743355593	0.447331407141	0.398125511867
