 	non	so	cosa	stai	scrivendo	</S>
e	0.61797519628	0.34597168955	0.017964144078	0.00108774547224	0.00103539192783	0.0159658696508
n	0.40751224928	0.51489182885	0.0347349462527	0.00867549249075	0.00963493960801	0.0245505644067
e	0.22454545646	0.53498575295	0.150542769111	0.0462504238036	0.0183429287637	0.0253326745496
t	0.0949634294533	0.525668588983	0.252675093637	0.0765602833879	0.0211378801906	0.0289947236008
s	0.0547424054911	0.401183258128	0.372560029012	0.0892616864693	0.0578626475562	0.0243899623474
è	0.0363156824017	0.240591925809	0.522626319671	0.12534541869	0.0649091770781	0.0102114690975
r	0.0270647955636	0.26247146319	0.564170978557	0.111470982763	0.0290868138607	0.00573494248775
o	0.0226845186529	0.208059338915	0.537820984852	0.180412834654	0.0442606712056	0.00676162112217
e	0.018130418847	0.0927705757963	0.425391049684	0.377888748218	0.0624411182652	0.0233780734807
s	0.021195963989	0.0547090981721	0.280301028481	0.503032868739	0.0928142918217	0.0479467587736
ù	0.0202700377257	0.032803272696	0.144525108947	0.62531806358	0.132036240407	0.0450472969979
t	0.0135771089408	0.0166736974527	0.0959438309357	0.629614504527	0.201527784202	0.0426630867726
i	0.0111969280339	0.0141656784756	0.0778857665252	0.506226685842	0.290843717667	0.0996812455175
s	0.0108756638607	0.0168218573852	0.0348741351751	0.404645387347	0.391430682822	0.141352289573
t	0.00905377246236	0.0138942822813	0.0212454101636	0.315149912516	0.484321138941	0.156335486458
e	0.00540859088355	0.00742486181203	0.0165974925224	0.209203660832	0.51294801698	0.248417375819
g	0.00696034704668	0.0100641539017	0.0122034978368	0.103593252851	0.547820026327	0.31935871334
r	0.00720320484843	0.0153166044994	0.00932674416073	0.0722231379037	0.513771529109	0.38215876798
à	0.00527035643285	0.0111845192179	0.00620109658604	0.0486651325212	0.556135382036	0.372543505127
f	0.00388063076306	0.00476025861151	0.00430841522561	0.0226359676404	0.734951936012	0.229462795109
i	0.0122385639311	0.00394414704164	0.0155622440241	0.0265581853868	0.616141605671	0.32555526357
</S>	0.0220535642616	0.00457946465082	0.0275117961061	0.0371487865234	0.416536133335	0.492170262185
