 	quando	è	arrivato	Giovanni	Anna	stava	e	dormiva	</S>
m	0.791618592	0.02327591936	0.0183631337758	0.157561582465	0.00080001653383	0.00116420333456	0.00102302491242	0.00107049627077	0.00512300501865
ò	0.731664908	0.06199456098	0.0256287530919	0.16893865539	0.00111193036811	0.00156639231059	0.00111238824679	0.00112324277334	0.00685914240198
t	0.706927816667	0.105411302087	0.0781765306173	0.0877249067114	0.00185667038663	0.00125682393078	0.000611675105403	0.00171540137599	0.0163188662992
t	0.558720230489	0.225797136922	0.133487234472	0.0506231063705	0.00522887640018	0.00173962529294	0.0031377790839	0.00335359339299	0.0179124250675
i	0.34425319303	0.472712166841	0.135409661957	0.0271016700968	0.00592109058381	0.00172019121363	0.00395763154115	0.00263708139248	0.00628731272136
è	0.149571073637	0.58853277228	0.214841817719	0.0349618395323	0.00356397969236	0.00111468704868	0.00258880165719	0.00120700886742	0.0036180074619
t	0.0613180364257	0.461682018627	0.388882601906	0.0653784185108	0.0102983742445	0.00134598592483	0.00214749346877	0.00188997003698	0.00705709090092
t	0.0284132369219	0.334596157569	0.540683502635	0.0640843692369	0.0155006264275	0.00156239018131	0.00529396874931	0.00287750802183	0.0069882401702
a	0.0144031264206	0.247417117816	0.652485004878	0.0614924725856	0.0115465126292	0.0014644187987	0.00642805328022	0.00208155006294	0.00268175757529
s	0.00901684795091	0.171634262405	0.680017027626	0.103702255662	0.0180923118838	0.00320273787017	0.00303992409592	0.00839045559098	0.00290418472301
e	0.00998841149101	0.119760179135	0.587170237209	0.234070749487	0.0264422742966	0.00495074979806	0.00229525444341	0.0105960242962	0.00472610737581
o	0.010564885597	0.0554728813783	0.392558985336	0.494594822362	0.0299162803875	0.00511551589802	0.0031677656792	0.00397219503032	0.00463666512405
G	0.00641683941767	0.0255691047861	0.273469682712	0.613512424121	0.0658208806785	0.00579891389267	0.0031011236116	0.00339647661661	0.00291456298133
i	0.0143951112759	0.0225323668954	0.288226617704	0.581505500707	0.0788368348188	0.00599864297756	0.00252790906711	0.00302518388114	0.00295186064681
o	0.0199317628066	0.0171308404598	0.204776638501	0.629281352902	0.10780677287	0.00867020220319	0.00550604106028	0.00157494713265	0.00532148552417
v	0.0111492608167	0.0106354089573	0.090363841367	0.645012320301	0.217327019757	0.0127738563717	0.00566854929076	0.00203582123842	0.00503394447252
à	0.012165264286	0.00980818291043	0.0533681781557	0.568790465434	0.327798403119	0.0184052585772	0.00409231408712	0.00222374822219	0.003348187085
n	0.013147792202	0.00735408288948	0.0517645471919	0.474932494298	0.40468929624	0.0327047436724	0.00409156519124	0.00546615184198	0.00584932487516
n	0.0380828296544	0.00631974410596	0.0567651363973	0.397174737919	0.37647827548	0.0369261156041	0.00954056111141	0.00957917603793	0.0691334283687
i	0.0528899021512	0.0114350040541	0.0480614181124	0.327784412373	0.333789959427	0.0910466529347	0.0315721374755	0.00953113357884	0.093889366372
e	0.0291780961504	0.012579262162	0.0303802248375	0.253262822724	0.431524714742	0.147795904312	0.0456891300718	0.00713764406628	0.0424521753953
A	0.0143559234892	0.00598918608887	0.0117397635958	0.208199369108	0.535198986247	0.164970411904	0.0355797547486	0.00478262352869	0.0191839793341
n	0.00854431165596	0.00277832965382	0.00614967849793	0.198579137523	0.570230416082	0.148982796301	0.0293923325675	0.00953173787883	0.0258112602574
n	0.0156157006728	0.00633165254721	0.00540904824115	0.169927173208	0.489217173561	0.134745009167	0.0409489789825	0.0321619699356	0.105643288
