 	da	da	un	famoso	poeta	</S>
p	0.886176333	0.07763029444	0.0196917518448	0.00419971326379	0.00398349145133	0.00831839690423
u	0.672670766333	0.247656538747	0.0431374389483	0.00708212646613	0.020691565774	0.00876155482734
s	0.417862009244	0.480139936916	0.0588823503161	0.0112492129152	0.0250696684666	0.00679683194925
s	0.251419019548	0.599985593639	0.0966192747054	0.0333936387531	0.0125619089933	0.0060205736528
è	0.137882152356	0.627014243213	0.171792974768	0.0517902441055	0.0085724030151	0.00294799559067
n	0.0872759971453	0.610588478004	0.238563814123	0.0451933466096	0.00890064794703	0.00947773049232
a	0.0675464985484	0.436855878468	0.391782660374	0.0730754543565	0.0157817041697	0.0149577979221
f	0.0467729093295	0.250253579623	0.489331746791	0.168923349985	0.0210705978352	0.0236478076827
a	0.0282805595338	0.154920881528	0.50440938093	0.260312027595	0.0228919995777	0.0291851489
m	0.0186131847753	0.0748615100293	0.456739483643	0.369942971198	0.0354651213452	0.0443777128631
ò	0.0128722814411	0.0408486790031	0.360043834148	0.480919815199	0.0467101873531	0.0586051859424
s	0.0115837786877	0.023467110681	0.297852618049	0.499714753866	0.0871740840424	0.0802076416888
o	0.0195896859472	0.0226066064417	0.192371146903	0.479683431289	0.171812519134	0.113936594483
p	0.0331538607557	0.0189385124366	0.104958040594	0.474587869096	0.231325126945	0.137036573828
o	0.0343104865652	0.0158328405982	0.0622205109913	0.398209876792	0.344074385115	0.145351882943
è	0.0215261498097	0.0142821083834	0.0433984257571	0.271223989891	0.513273427705	0.136295884581
t	0.0113254720399	0.00792161592181	0.022011397035	0.17387690217	0.669887796568	0.11497679434
a	0.0107945497487	0.00930694016862	0.022816267641	0.113305921683	0.628311779523	0.21546451646
</S>	0.0138766424144	0.0139084631243	0.0307913887505	0.102532775771	0.502067509761	0.33682319923
