 	vuole	pianto	</S>
e	0.967827549	0.025601276587	0.00657116783
t	0.965371501667	0.0222990147437	0.01232947241
è	0.956132549889	0.0296840194859	0.0141834126653
l	0.864753139296	0.10788684298	0.0273600028778
i	0.657547447965	0.246876449507	0.0955761054933
k	0.421829093482	0.434825746969	0.143345170124
l	0.245400545067	0.563053798256	0.191545667535
a	0.13546863786	0.566612854552	0.297918528445
m	0.0696677403507	0.607057050717	0.323275215815
m	0.0646414776969	0.613170543766	0.322187977072
è	0.0854333292748	0.455539942522	0.459026737491
n	0.133789255567	0.349784015714	0.516426740604
o	0.166913411169	0.262005723531	0.571080875641
</S>	0.158786778794	0.164468299505	0.67674492782
