 	se	vuoi	restare	sempre	magro	non	magniare	la	sera	</S>
a	0.57848022986	0.36825610706	0.0038940181866	0.00169467672147	0.00137066777562	0.000575332942412	0.000799006208153	0.000669979867047	0.00428905087652	0.0399709457541
t	0.27802883088	0.66096889502	0.00776110876887	0.00273963482192	0.00131760581684	0.000593295226781	0.00192650933847	0.000821441019319	0.00457444966639	0.0412682291006
e	0.105483598588	0.85355496834	0.0137605055496	0.00264454480364	0.00128971763182	0.0008093425121	0.00254954090503	0.000664153405312	0.00234606233081	0.0168975760864
l	0.0434814705107	0.914518102113	0.0250319582832	0.00306643653155	0.00155900913081	0.00096425072984	0.00167208973599	0.000458590610629	0.00130438824193	0.00794373445895
ì	0.0229743225836	0.874398911371	0.0923427569944	0.00347152429385	0.00174066567634	0.000516309201593	0.00066216021282	0.000197111797985	0.000469514877909	0.00322677432431
s	0.0187923935679	0.806821723124	0.156805089331	0.00827578705595	0.00152254209818	0.000999868118601	0.00103534675924	0.00022843995747	0.000289261433962	0.00522961182152
i	0.0151458659293	0.632138747708	0.320714570444	0.0178189190813	0.00389602643406	0.0018931177736	0.00163735235154	0.000474441727263	0.000275246404574	0.00600574918109
n	0.0124518676164	0.490542825236	0.449270151481	0.0315025911671	0.00816502986402	0.00224886951821	0.00150048512823	0.000764138513321	0.000376106688155	0.00317794408814
a	0.0119790386461	0.365344595145	0.551813372494	0.0502129553757	0.0121121749207	0.00259103834908	0.00186299115134	0.000914867714494	0.000466865477165	0.00270210063193
m	0.011897124088	0.213700725648	0.671098108165	0.0797973498119	0.0149042221756	0.00285484875169	0.00188153371711	0.000808763452951	0.000408132766248	0.0026492096895
ì	0.0113873627274	0.142785065196	0.676900524722	0.131337544224	0.0254137777385	0.0054534767659	0.00238234094324	0.00166817213864	0.000483149273446	0.00218860998011
n	0.0126551388885	0.0762826906453	0.686285340241	0.173611822075	0.0309231972262	0.0100152447356	0.00314832552061	0.00212428889627	0.00113761510378	0.00381634549871
i	0.0130917607682	0.0484560797551	0.506654617614	0.335629924758	0.0637500781954	0.0158662074055	0.00570258557887	0.00486873107089	0.00147810691005	0.00450190181264
p	0.0216434515081	0.0234914404697	0.265985944271	0.513850393586	0.139353253332	0.0170174547552	0.00703999152962	0.00681204816403	0.0015904660182	0.00321555188275
