 	mi	si	gonfiò	il	dito	</S>
m	0.45276571955	0.2714961031	0.140565904875	0.0380661085837	0.0528849440483	0.0442212452308
u	0.20404895237	0.372404217433	0.264898187092	0.0456580151486	0.0621594114031	0.0508312508752
b	0.105867909897	0.383144408478	0.407353411031	0.0351552248789	0.0412700994797	0.0272089655973
r	0.055877688209	0.449530338226	0.412868206744	0.039698040313	0.0280937569799	0.0139319728594
i	0.0449002016397	0.381784064542	0.509691577981	0.0415310701777	0.015583129548	0.00650996222544
s	0.0280143527732	0.211478157581	0.627428923327	0.0896841685926	0.03425375064	0.00914065230048
t	0.0134964199295	0.141022027574	0.560418216442	0.177610544064	0.08397963472	0.0234731531295
ì	0.0101348096336	0.0901149661447	0.529045622814	0.262000842621	0.0829167733067	0.0257869885425
o	0.0101554231012	0.0507570726416	0.385479308098	0.36881331994	0.163849270562	0.0209456144175
d	0.00886769617413	0.0244796011045	0.170870635726	0.48004550598	0.272264338927	0.0434722192125
à	0.00868055906444	0.0125309966768	0.0823688676753	0.603366301327	0.234053890136	0.0589993791842
t	0.00745252879235	0.0078800092972	0.0412768240384	0.594101385776	0.290912453579	0.0583767893264
t	0.0193139239459	0.00516637952807	0.0279705645248	0.414807167792	0.371021424926	0.161720536067
i	0.0264447469169	0.00544392182809	0.0240277529189	0.259284810704	0.432405966709	0.252392818456
l	0.0136539342767	0.0046563957637	0.0189632489536	0.230582277308	0.498061796236	0.234082365419
o	0.0553172422959	0.0126113060836	0.0192907484772	0.197596096869	0.424816443745	0.290368169073
</S>	0.102009557297	0.0218232848388	0.0214181902246	0.136679186835	0.361455952373	0.356613831537
