 	forse	stanno	ancora	svegli	</S>
f	0.97856591	0.013643579694	0.00295043135624	0.00388865255434	0.00095141858247
ò	0.899792765333	0.0916699888047	0.00342854375981	0.00388673700138	0.00122196330024
r	0.770939115111	0.210980576768	0.00518631440127	0.00217148306093	0.0107225085353
s	0.63190356437	0.318282046723	0.0125176936541	0.0206425361932	0.0166541241276
i	0.387326378957	0.542796786508	0.0304007768697	0.0276355642815	0.0118404602994
s	0.166249972352	0.777094211503	0.0349701437346	0.012305953037	0.00937970497478
t	0.0850434065573	0.871295289834	0.0293235337715	0.00835895913453	0.00597882378404
è	0.0439663299324	0.893987214611	0.0423780679705	0.00705660969411	0.0126118149876
o	0.0260196444841	0.689683834137	0.23367275159	0.0277179598476	0.0229058335372
n	0.025727279148	0.439919086646	0.399168205863	0.0998332160159	0.0353522087424
e	0.0224916891893	0.284289626435	0.500001020621	0.159152851465	0.0340648070741
a	0.0161559763298	0.123026620272	0.598084480207	0.235196128215	0.027536797508
n	0.0152428637139	0.0528994673507	0.512826037802	0.329625834912	0.0894058048727
k	0.0422850879688	0.0909839159742	0.384520547001	0.315656314344	0.166554149544
ò	0.0523001118777	0.104244022106	0.382127177	0.309633786381	0.151694907888
r	0.0249385041398	0.0437382527296	0.456270367	0.374659647727	0.100393230496
a	0.0189251051993	0.0320659598139	0.42057117	0.404563828709	0.123873931859
a	0.0246599537064	0.035669664024	0.26407665036	0.492995001703	0.18259872622
t	0.0185063740035	0.0268875295656	0.116886745347	0.603707088834	0.234012267673
s	0.0343703502825	0.0338119230288	0.110625822582	0.500014980745	0.321176933491
ù	0.0510404603602	0.0399082886362	0.129672019181	0.417814251115	0.36156498323
n	0.0371975152767	0.0242286219541	0.0958491477403	0.507016605172	0.335708099343
n	0.0719442788909	0.02225943615	0.0932208925401	0.479907913057	0.332667463581
i	0.0844017158383	0.033695263056	0.106967205957	0.363839314886	0.411096494527
t	0.0719934122391	0.0409717052209	0.081706252023	0.352698545495	0.452630094576
i	0.0926032827234	0.0601340414241	0.0681653755066	0.268736511232	0.510360809259
</S>	0.0952711496377	0.0769955686918	0.0785421836117	0.151950996916	0.597240130629
