 	mio	padre	ha	lavorato	sempre	</S>
o	0.927088844	0.05923623513	0.0086327846625	0.00093514349948	0.00115390838252	0.00295307816972
c	0.737614529333	0.23857465537	0.0122708027168	0.00375438746136	0.00147912164072	0.00630648585291
i	0.508922073778	0.45971555981	0.0188596351656	0.00526641872241	0.0012276374109	0.00600865743311
ù	0.372195479741	0.551251166403	0.0587395440485	0.00643931380923	0.00223414223673	0.00914033504751
r	0.246157673195	0.583195644801	0.136602011216	0.0152454350364	0.00605911113138	0.0127401039942
i	0.166028376085	0.5528870196	0.235041961139	0.0265475119188	0.0119296680382	0.00756544239661
m	0.100197060666	0.531423991867	0.31231056078	0.0395141845729	0.0111817958947	0.00537238905594
m	0.105914538733	0.520273202889	0.283695806927	0.0775889358476	0.00669370387823	0.00583379650276
u	0.113537040469	0.37080110963	0.362894376576	0.127668752206	0.0151812215154	0.00991749402836
è	0.049543202265	0.204294374697	0.497559458459	0.217496938735	0.0203266882965	0.0107793493828
p	0.0263778944951	0.128446056932	0.477844793753	0.326537071578	0.0319361286742	0.0088580543076
o	0.0232979988545	0.067763836674	0.365712442984	0.483861406526	0.0483881584314	0.0109761495159
l	0.0154554107802	0.0303592100707	0.233441796795	0.624330513509	0.0731358962838	0.0232771894053
e	0.0150213472287	0.0147019013182	0.167126805592	0.653368376503	0.100697369561	0.0490842153351
m	0.0134718640469	0.0149800521287	0.107517734724	0.677826651501	0.108136648187	0.0780670527117
i	0.019096001909	0.0185238736869	0.0668115549947	0.599576031834	0.176672776929	0.119319754037
m	0.021432492119	0.017648176089	0.0467321602782	0.486612962611	0.24885778631	0.178716421812
m	0.0133074110121	0.0145336388814	0.0269879974107	0.420781393737	0.290802296103	0.233587273691
è	0.0597960503095	0.0109657295142	0.0193690936282	0.308967562866	0.352700976034	0.248200588317
n	0.0750507191348	0.00874696878507	0.0294301621814	0.245076341509	0.421882283678	0.219813513279
a	0.0355626237569	0.00603431330669	0.0357004470391	0.19625952497	0.452534134226	0.27390894566
p	0.0188737624443	0.00448729205776	0.0204966549186	0.122939778777	0.510251930742	0.32295058748
à	0.0147448651079	0.00340134742572	0.0114931026683	0.075103194959	0.609058530247	0.286198966193
n	0.0162087782777	0.00275444445213	0.0138339957253	0.0564218258957	0.675473094082	0.235307863164
t	0.022729211807	0.00217836236958	0.0139350058376	0.0477844568626	0.696563518694	0.216809445855
a	0.0237224993428	0.00317695826477	0.0105787815183	0.0337189184605	0.533850086231	0.394952750218
</S>	0.0159029656614	0.00385902954539	0.0107230198332	0.0317564201376	0.386923365116	0.550835195309
