 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.957027665	0.036812822326	0.0028449186914	0.00117044022387	0.000277826118182	0.000475933808971	0.00139041869928
i	0.805362486333	0.135571211222	0.0300534012849	0.0239038800906	0.00134882096043	0.0013780195048	0.00238220453351
ù	0.500900961835	0.364882052074	0.092125793235	0.0335196984755	0.00240460592358	0.00342925621862	0.00273764989042
m	0.272846168402	0.513262529358	0.143176823345	0.0407322782185	0.0133307834865	0.00553449467428	0.0111169263472
è	0.143984773534	0.604508247786	0.173800796715	0.0421963179542	0.0177605396763	0.00449048625872	0.0132588348735
s	0.0693671497447	0.659443757929	0.221881890505	0.0295229672927	0.00962006642223	0.00465537286753	0.0055087902808
a	0.0490665537582	0.524428903976	0.356772527235	0.0416295828309	0.0177811061987	0.00593510936083	0.00438621521487
è	0.0261405131094	0.297971392125	0.532691382412	0.10492596401	0.0287206909196	0.00497692444246	0.00457313666316
n	0.0117144724298	0.133201091042	0.600062632804	0.200011125337	0.0440413766425	0.00619739362202	0.00477191055532
a	0.0093410864966	0.0671885680627	0.458240515935	0.368864815112	0.0820603232408	0.00900184844321	0.00530284231271
v	0.0156078575495	0.0335211234256	0.286794086312	0.524614189037	0.117532189747	0.0123327399663	0.00959780260184
à	0.0175896069121	0.0146632540881	0.175672951171	0.628194813679	0.138085949316	0.0149203752234	0.0108730470916
l	0.00977091952518	0.0087512965083	0.0909133539237	0.656835621893	0.193804887105	0.0241262065865	0.0157977276615
i	0.0136900731566	0.0109081412221	0.0609527125879	0.463181681098	0.370296842368	0.0490372567355	0.0319333073338
è	0.0156885482775	0.00974396815137	0.028598641382	0.254350599366	0.595537046789	0.0571886835718	0.0388925019246
n	0.00834339927127	0.00475150471446	0.0153379025	0.164712359455	0.695783322263	0.0711064832773	0.0399650021749
a	0.0329343202779	0.00827845771615	0.01264035418	0.112956099152	0.609289825421	0.147006630959	0.0768942992583
t	0.040832024865	0.01037197563	0.0100415868673	0.0719908386107	0.446227859407	0.30758970052	0.112946007419
a	0.016518503394	0.00876444313062	0.00835297330283	0.0478439091636	0.335263591869	0.430413434107	0.152843139073
p	0.00872108374867	0.00711055500161	0.00701973882934	0.0282751723225	0.222011371823	0.534587024636	0.192275043691
p	0.00480360770561	0.00386360353807	0.00592399770358	0.0142696646942	0.116018615201	0.643529535545	0.211590959164
è	0.00628519330592	0.00298128365149	0.00479097825566	0.00879598719007	0.099358215907	0.661782249182	0.216006075788
t	0.00982960858604	0.00290492595953	0.00571928091209	0.012508639868	0.098638630129	0.681637530394	0.188761366596
o	0.0166682002027	0.0122924102462	0.0153884616789	0.0204343068793	0.0868868654797	0.507690417198	0.340639327465
</S>	0.0233684748513	0.0213656675531	0.0230284368154	0.0240333296776	0.0909477241248	0.311267426199	0.505988941232
