 	se	si	era	vestito	il	mio	fratello	l'	avessi	portato	con	me	</S>
a	0.5412521134	0.2509739476	0.129092839247	0.0033769059952	0.0021874829685	0.00186184254793	0.00159135571389	0.000509238085285	0.00179248674349	0.000989565553429	0.0011151432904	0.00991041117362	0.055346666043
n	0.251172445747	0.342761787867	0.317550831416	0.0110327392984	0.00399576980103	0.0019963077963	0.00107508599622	0.0004457500804	0.00174108683489	0.000976797807929	0.00125775181202	0.0100213242043	0.0559723125986
ì	0.0910854879337	0.369992046489	0.485360112272	0.0146699685461	0.00793331881141	0.0024547515341	0.000903008036007	0.000456416673957	0.00107428688444	0.000788388882455	0.00080849999789	0.00448621310516	0.0199874919193
c	0.0498717998159	0.402481171363	0.471750367824	0.019272500742	0.0206515389202	0.0058385216813	0.00208510957554	0.0103070152006	0.00580177806	0.000659179372975	0.00078940899114	0.00212205951785	0.00836954466072
h	0.043499429932	0.387842446521	0.422988692341	0.047936557114	0.0469311832367	0.0104159408528	0.00326611246423	0.0166729623077	0.010672114284	0.00078166992291	0.0011164433311	0.00364266072199	0.00423379138052
e	0.028123294876	0.263208483587	0.42533577418	0.172596937585	0.0679449028402	0.0124202580474	0.00425126605092	0.00968285304757	0.00836662988763	0.000969731494137	0.00112695478365	0.0043106962021	0.00166221809393
n	0.0143945358367	0.117783494442	0.450134680527	0.292032814288	0.0841796010801	0.0178819519678	0.00490069915877	0.00503500054903	0.0057746446277	0.00290409293943	0.00199604734463	0.00210506297576	0.000877372459814
d	0.0266909045516	0.0530996470807	0.346064126549	0.324021387856	0.167105752627	0.0343560513093	0.00890754662979	0.0158330395608	0.0140007347034	0.0037231926398	0.00288646296214	0.002308711837	0.00100244173903
i	0.0331744510612	0.0313636644669	0.162501279143	0.411768583952	0.254048806209	0.0471125639098	0.0149899874801	0.0203941062569	0.0166890748058	0.00281028308593	0.00211239692772	0.00219300252185	0.000841811762647
s	0.0188303298311	0.0200573856023	0.125508982954	0.419186878184	0.301042119203	0.0552531065033	0.0142861938734	0.0103064790583	0.0157449828154	0.0121252777924	0.00477144452453	0.00186547600519	0.00102136428182
ò	0.0140995838248	0.0133009844208	0.110085166723	0.285021245461	0.432694372868	0.0858794064344	0.0147269027845	0.00721065235103	0.0143423193565	0.0145683159757	0.00553800155283	0.001537770545	0.000995282746247
