 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
e	0.7324714342	0.1747165787	0.002988496112	0.0061753166263	0.00225610789838	0.00256182593455	0.00209170733938	0.0063266845629	0.00984529164866	0.0605665095839
d	0.516738275013	0.383739474593	0.00606486596067	0.00736361239103	0.00257465429319	0.00268481677287	0.0021530934579	0.0064158461798	0.0109183634955	0.0613469744583
e	0.372612786391	0.560110472198	0.0146110762629	0.00556609359661	0.00192074532573	0.00258688784498	0.00113429668329	0.00651485978743	0.00552395546268	0.0294188281008
r	0.287804217357	0.641099916066	0.0244072242803	0.00789116877487	0.00282175582258	0.00293585138975	0.000847243919949	0.00656210068811	0.00314233612293	0.0224881955634
f	0.277015019539	0.622585612689	0.0433241467328	0.027415010383	0.00624039015819	0.00234311570972	0.000976720102316	0.0024993340864	0.00525298322206	0.0123476702226
ì	0.217229300113	0.602076981563	0.116032310311	0.0430806515943	0.00670416569666	0.00275407446317	0.00100883459966	0.00104682481393	0.0056091621604	0.00445768111801
m	0.135951761918	0.605252480521	0.14690001777	0.0675775008648	0.0147031392428	0.00805087921899	0.00676472929677	0.00183582064191	0.00311568417891	0.00984796558095
m	0.181453010973	0.53703548324	0.122231488525	0.0774801079083	0.0256825147296	0.0156094405387	0.0113089262389	0.0131301906918	0.00404350041	0.0120253328378
u	0.16315018206	0.37457307728	0.257656374777	0.108004320923	0.0342991851119	0.0234591311253	0.0110070781475	0.018178378981	0.0050285271234	0.00464373279984
e	0.078065078976	0.197041718293	0.380655662859	0.190734712308	0.095848729104	0.0242112523284	0.010132885719	0.0106434219121	0.00417400614878	0.00849252006137
n	0.07051076205	0.106849296331	0.2980551689	0.270976579436	0.194018421701	0.0222668234495	0.011260451617	0.00609303300763	0.00810798747038	0.0118614778511
è	0.0656861797093	0.0498214204237	0.215715626413	0.346529155812	0.2628400519	0.0295088189632	0.0109982002457	0.00333843548961	0.00897405360444	0.00658806593249
e	0.0312410520578	0.0245838177346	0.168979491118	0.306552735737	0.413556978633	0.0347977512277	0.0103532695632	0.0025424660636	0.00379462638419	0.00359780946322
r	0.021752728361	0.0133555035695	0.0977957490193	0.236711531779	0.543511821544	0.0499145612759	0.0239314587957	0.0026806046892	0.00498687897494	0.00535916585303
t	0.0195093133972	0.0079413622715	0.0594000608798	0.205573488926	0.558255423181	0.081924713892	0.0450344149719	0.0067538415344	0.00683095989159	0.00877643915023
o	0.0121622807142	0.0116111553328	0.0413690582533	0.137108864375	0.502294514794	0.215533856697	0.0554690098773	0.0102196111048	0.00594362470036	0.00828801848634
m	0.0100395229494	0.0121682487216	0.0204571347711	0.0850323136917	0.443677641331	0.304023499232	0.0977573825791	0.00891143254493	0.00608736417381	0.0118454498255
è	0.00874603379753	0.0051489231512	0.0116489458504	0.0524094459372	0.367230565377	0.398569071411	0.129428536953	0.00947882661498	0.00556637871167	0.0117732625434
n	0.00722962638471	0.00267934918493	0.00837465272347	0.0512153923697	0.249906449659	0.484453778904	0.169977130144	0.0116454411937	0.00441512066096	0.010103053334
