 	è	che	sono	usciti	</S>
è	0.661097335	0.21566232049	0.02258504919	0.082367850692	0.0182874552585
n	0.428326285753	0.302431904997	0.0352385706833	0.195178697271	0.0388245446186
a	0.232499188991	0.282353088032	0.122868669001	0.315669282797	0.04660978755
g	0.086175300017	0.334825698477	0.234032469554	0.256294966879	0.0886715710417
u	0.0358978807077	0.286567721159	0.301401731271	0.263743076706	0.112389582524
ì	0.0201024035959	0.12380577238	0.315146700824	0.412759448902	0.128185661055
k	0.031299187764	0.0781395870867	0.353362100275	0.402041156894	0.135157959298
a	0.0355211396553	0.0562901980022	0.299626912558	0.390207663225	0.218354077766
n	0.0679301876384	0.0548420699207	0.188077332453	0.425207035502	0.263943362522
e	0.0874374332548	0.0544526971669	0.148368356211	0.359518045594	0.350223464441
</S>	0.0637529818504	0.0376099640034	0.100885863495	0.292246913297	0.505504274221
