 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.665764161	0.31889346265	0.011380753399	0.00153298551117	0.00072724639325	0.00170137163533
s	0.550369416667	0.415542185183	0.0275408919797	0.00253498752346	0.00204789896008	0.00196459158798
o	0.394889761756	0.492652579061	0.0983585910732	0.00973066525689	0.00308752124335	0.00128086731294
s	0.245298981079	0.540236000087	0.190434922091	0.0147161562623	0.00784582814417	0.00146810620319
e	0.169109319786	0.428027671962	0.359827963097	0.0305549865541	0.00876412382739	0.00371592860721
è	0.0782669321513	0.238808459854	0.608542723032	0.061914346118	0.00540784723846	0.00705970055014
m	0.0391636215098	0.108794799858	0.690479868344	0.130924999306	0.0202868982208	0.010349820763
b	0.0841435808733	0.0858382588193	0.573587631648	0.196200053102	0.0436845899276	0.0165458716686
i	0.0989621631444	0.0781664835238	0.396186878549	0.346976550634	0.0509154043559	0.0287924961669
à	0.0484075239081	0.0404357765453	0.22479983985	0.591550688211	0.0625073840453	0.0322987859223
t	0.0255419389451	0.0182739935068	0.126574898683	0.713951704737	0.0918186279618	0.0238388462234
t	0.0602670855608	0.0143016152926	0.080424901331	0.591337174246	0.165337954987	0.0883312768105
i	0.0727640507636	0.0154134157662	0.038305733047	0.448602679949	0.257213368329	0.167700770737
f	0.0333632476937	0.0182470638501	0.0306260287403	0.380158091183	0.377172525443	0.160433058312
i	0.0367500534562	0.0221894214944	0.0278399367241	0.252740092661	0.488484137148	0.171996363371
n	0.0364195628598	0.0172951009094	0.0154196940174	0.158695228554	0.560500147049	0.21167026779
è	0.019536060787	0.0106529679194	0.00871982555793	0.0995882299647	0.658395507683	0.20310740369
s	0.0124851010648	0.0063505267014	0.00618398917404	0.0804643065149	0.738370643894	0.15614541569
t	0.00900202687403	0.0040888926152	0.00494300388571	0.0611022411743	0.734572956631	0.18629085533
r	0.00918818245898	0.0053841351154	0.00411556258493	0.0250274598374	0.669804867744	0.286479787403
a	0.0104751030256	0.00577356374647	0.00561212166014	0.0164908169798	0.518399809448	0.443248591494
</S>	0.0127597159628	0.00499773996643	0.00617540569592	0.0183154161559	0.399551042724	0.558200679947
