 	dovevo	comprare	il	pane	</S>
ì	0.856389752	0.127550539268	0.0103712018875	0.00072109699311	0.00496740396085
c	0.793934412667	0.16801099567	0.0245655290902	0.00157600854631	0.0119130557274
h	0.728118796222	0.215389924651	0.0326550863701	0.00773658534127	0.0160996030327
a	0.674719548941	0.289277077984	0.0176024190102	0.00902765687612	0.00937329052863
n	0.497890994874	0.467526858761	0.0260475858218	0.00378802510711	0.00474655493561
a	0.328450018198	0.601158738987	0.0626371834139	0.00469177380857	0.00306231171507
a	0.253846435526	0.575491749996	0.146564356391	0.0117162503017	0.012381234861
f	0.162237215085	0.574325414199	0.201706989797	0.0278948608566	0.0338355598803
o	0.074689002391	0.526898132533	0.251201244999	0.0828521555175	0.0643594967294
r	0.0452060431237	0.383638505578	0.334234326	0.127419728718	0.109501416879
à	0.0340091233859	0.231127323459	0.4559593876	0.174458607973	0.104445576826
s	0.0194614352166	0.14295877764	0.582835629867	0.189784150991	0.0649600174087
o	0.0226560580535	0.109147282913	0.578041377956	0.210155063597	0.0800002094029
t	0.0236544053272	0.0499110320243	0.492473469319	0.333407360846	0.100553723134
o	0.0404637683264	0.0304383219212	0.367209541066	0.434491564262	0.127396793778
t	0.0458448841128	0.0179062350368	0.254458051115	0.509446078754	0.172344731526
s	0.020674024563	0.00973444045053	0.209161858638	0.599745992251	0.160683673402
o	0.0158195761931	0.00825408003444	0.154922139718	0.588667433084	0.232336767027
m	0.0159356528604	0.00733871812748	0.0835782048513	0.589375889361	0.303771535256
ì	0.0234163664807	0.00958114953059	0.0467876690238	0.566350223787	0.353864595465
</S>	0.0307750132843	0.0146035908774	0.0364980182619	0.487199272893	0.430924112233
