 	ora	ho	finito	di	scrivere	</S>
à	0.95462807	0.02650437583	0.0129454904794	0.0015271522487	0.00236724717812	0.0020276717149
r	0.752111488933	0.122791898163	0.0637437794711	0.0113611360407	0.00995246354219	0.0400392357691
t	0.444195538378	0.311932706388	0.128584236024	0.0487728681469	0.0129953313361	0.0535193136713
e	0.224954151073	0.444936278129	0.245197562875	0.0577860665936	0.00664997096203	0.0204759799219
s	0.0972509584043	0.465060731376	0.382164410958	0.0361428009512	0.00506955242401	0.0143115413783
p	0.0506555810614	0.369441860859	0.486544495653	0.0662737475504	0.00977285147334	0.0173114339144
ì	0.0247546644205	0.217605433286	0.641836041218	0.0931322096035	0.00914057692645	0.0135310390936
c	0.0094913689795	0.113125187362	0.749247980406	0.106173223281	0.00687298377548	0.0150892383499
c	0.0118881179198	0.0546110296473	0.718345932802	0.173910554127	0.0133725917205	0.0278717847118
e	0.0219640397926	0.0492515164291	0.565544722267	0.307787618562	0.0245249571722	0.0309271516284
t	0.0182251171721	0.0438977246897	0.468324658622	0.405381181721	0.0396873162352	0.0244839910375
s	0.00841111439037	0.0195904552386	0.403889082407	0.460957164307	0.0668274962695	0.040324673875
a	0.00563925214119	0.0326190575009	0.261553432709	0.525620592302	0.103420889943	0.0711467649729
t	0.00436375593793	0.0367888794096	0.196186120263	0.498829527434	0.159080541534	0.104751169278
s	0.00436648654029	0.0213885278232	0.152560605806	0.423381867145	0.254869555265	0.143432949506
e	0.00514780113041	0.033579359482	0.112116962763	0.342352986515	0.301494409022	0.205308479649
g	0.00648982672894	0.0513622521889	0.0909657754377	0.270415894972	0.321021298274	0.25974496115
r	0.00775957091372	0.0465984471626	0.0490278187036	0.253700424524	0.339196694558	0.30371705705
à	0.00744766803885	0.0376129563673	0.0607501655096	0.191667292708	0.385023211786	0.317498716617
t	0.00527900174922	0.0285967019786	0.0621461694205	0.120916001036	0.468960654195	0.314101470872
s	0.0242539283309	0.035069409385	0.0447042027962	0.0822400310187	0.511821383398	0.301911039357
i	0.0323487628886	0.0539276053044	0.0607245349381	0.0454808290156	0.393189777266	0.414328491786
</S>	0.0197276575503	0.0578667189859	0.070874754364	0.0398793762118	0.256738927833	0.554912568893
