 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.823741573	0.102596719587	0.0506070883538	0.00379857400482	0.00158730890335	0.00181419362214	0.0158545495103
i	0.586179570667	0.326323733796	0.0580936417486	0.00470496360971	0.0020835190332	0.00615392867111	0.0164606388711
k	0.339849783889	0.530197203265	0.0992255808695	0.00430262679984	0.00188582965247	0.0088087895671	0.0157301736738
à	0.181542144943	0.665471713755	0.11941067815	0.0117052889313	0.00160251206347	0.00547550431751	0.0147921556529
n	0.088166145261	0.737228611652	0.123311974043	0.0169428747758	0.00200450095141	0.00801565686258	0.0243302426683
n	0.136027044124	0.562655499464	0.213733401781	0.0214495560599	0.00793504691247	0.0244589750073	0.0337404745867
i	0.153217129965	0.421794943401	0.265676553594	0.0741833040913	0.0178689033412	0.0488380147344	0.0184211438203
e	0.0748936118283	0.3032349924	0.443798244931	0.105797465914	0.0182423058884	0.042998605264	0.0110347760459
A	0.0302711348761	0.151147166467	0.67491997231	0.0883103102113	0.0222302611475	0.0248888955698	0.00823225183815
n	0.0210642177424	0.0736044993423	0.73511526877	0.0893979076038	0.0362866014138	0.0226003619992	0.0219311307096
n	0.0649597376008	0.0459529436641	0.56837092939	0.112207100001	0.0531711624113	0.0968389136211	0.0584992073152
a	0.0860686894099	0.0411806371714	0.292267667063	0.2853122392	0.10849205119	0.132458422887	0.0542203002251
o	0.04845748181	0.0265723499351	0.137958338441	0.4318182562	0.218903534197	0.107536547869	0.028753491123
s	0.0223501343683	0.0170696955922	0.076750267767	0.378155422067	0.372596876066	0.0974612019963	0.0356163966223
à	0.0100047280478	0.0113867254345	0.047235096451	0.296593397376	0.518106010022	0.0797340748921	0.0369399690141
m	0.00547777719236	0.00673771605817	0.0213535886723	0.218148853279	0.623547889341	0.093191181364	0.0315429810087
b	0.00594689348721	0.00469817378539	0.00965662214143	0.129915987853	0.61025663398	0.199926669388	0.0395990145669
a	0.0127017095157	0.0035251734358	0.00440511890114	0.0744180730443	0.463573474193	0.333521043663	0.107855413256
p	0.0114966998382	0.00400709588625	0.00275446642438	0.0530229003881	0.364949200931	0.383579546288	0.180190092719
o	0.013960255868	0.00556756006833	0.00343405122279	0.0422579623934	0.285524814897	0.454038709829	0.19521665056
r	0.0146926299787	0.00687807742958	0.0032328228036	0.0319475597885	0.209948068952	0.46966299821	0.26363785144
n	0.00723880726777	0.00588947348386	0.00184309421133	0.0210799709775	0.227902098474	0.430249474337	0.305797082213
ò	0.00935639492166	0.00395524193415	0.00172457705191	0.0214565411538	0.187712402348	0.471642212779	0.304152622938
</S>	0.0120671479978	0.00312867526768	0.00190580434595	0.0220805493969	0.120711143624	0.516005868389	0.324100806669
