 	non	aveva	cosa	a	fare	</S>
e	0.68094550055	0.19910914967	0.0144926262966	0.00148208020483	0.0213303949254	0.082640270321
n	0.426486916857	0.411569150003	0.0150232443655	0.00214424468561	0.0479679068032	0.0968085635041
ì	0.170403576132	0.668231243334	0.0551710931552	0.00379110649654	0.0489295327831	0.0534734750663
c	0.0822718487267	0.722091680978	0.0829940315384	0.00589849164685	0.0598139123764	0.0469300680293
h	0.0621668603496	0.625388634859	0.182191302913	0.00903759469962	0.0773217785381	0.0438938610478
e	0.0357746758945	0.37529389152	0.453266122704	0.0526221032999	0.0560772920954	0.0269659268499
t	0.0261975617425	0.145549046507	0.540710434435	0.1354139492	0.122240641105	0.0298883688486
i	0.0263196586452	0.0655845359623	0.355487176678	0.310942508833	0.180066477002	0.0615996434815
k	0.0170775059904	0.0439091944741	0.171950519093	0.387631432911	0.256596266734	0.122835087894
à	0.0322009667868	0.0286897212934	0.074305376751	0.311381121804	0.425615044645	0.127807782765
m	0.0339334576467	0.0133260491651	0.0331501690703	0.295428530468	0.491921363348	0.132240436322
i	0.0301613702273	0.041490163119	0.0288766332814	0.218122790023	0.379051408249	0.302297641641
</S>	0.0430801957266	0.0743567370675	0.0359752295777	0.137989658312	0.271803367125	0.436794825921
