 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
è	0.861057162	0.108386279851	0.00653921856075	0.00417130557872	0.00227168259061	0.00292678159124	0.0007346294402	0.013912924393
n	0.698103189933	0.258350913484	0.00992194906942	0.00492478721891	0.00240649099498	0.00309410072055	0.00112729720719	0.0220712741337
a	0.502527138491	0.449840742468	0.0211212698923	0.00592367623497	0.00184609857239	0.00195391573134	0.00102900486255	0.0157581493004
v	0.30572844837	0.607325300223	0.0626940298908	0.0101185677983	0.00202281803793	0.00207117341221	0.00154952435685	0.00849011667275
o	0.14867988651	0.627402683208	0.142759463197	0.0158531330041	0.00275578389678	0.00357670062363	0.00451583012388	0.0544565186995
r	0.08084384806	0.533564022869	0.223347036999	0.057105054268	0.00640243789226	0.00671330207981	0.0129142347866	0.0791100851335
à	0.0526370865767	0.387845846756	0.347452376	0.139000365423	0.0132671339974	0.00723028817834	0.0129967867324	0.0395701371149
s	0.0262325715929	0.273224342985	0.489190204	0.165811403241	0.0142729499391	0.00586796310567	0.00534503255317	0.0200555383391
o	0.0178828119936	0.189698255422	0.533153337333	0.198784364514	0.029222604093	0.013167335119	0.00414371379743	0.0139475816367
o	0.0281874730645	0.085812637834	0.403497097111	0.325050328438	0.119359992698	0.0257047514797	0.00355343249848	0.00883428486737
t	0.0284604661728	0.0355129544047	0.244440722704	0.496393592813	0.158980893499	0.0242169953666	0.00400048268456	0.00799386659066
s	0.0150424190426	0.0177860054598	0.208467551435	0.620606733604	0.107410686166	0.0154978265955	0.00470276705325	0.0104859839976
o	0.0105590413515	0.0116160989408	0.147577706392	0.535274947201	0.223386236722	0.0445927369585	0.00851573644308	0.0184774998019
m	0.0100511192344	0.0077258615496	0.0779795511107	0.5136968724	0.301220133307	0.0566735182595	0.0111417377277	0.0215112238213
ì	0.00702727007367	0.00478752622653	0.0480226428662	0.4391433453	0.376524648169	0.100693740073	0.00873880554457	0.015062026388
k	0.00467740132209	0.00268384886178	0.0261240896114	0.248820803	0.532662716056	0.139984834624	0.0220832168415	0.0229630877309
u	0.00431119531423	0.00242987250386	0.0196259730711	0.1728294309	0.504652650019	0.227386638608	0.0396019351872	0.0291623064923
à	0.0138525866627	0.00169718703105	0.0101788838645	0.09297662488	0.38625429094	0.389032505536	0.0830727928624	0.0229351289681
i	0.0163185094416	0.000907849670117	0.00384219640257	0.046935636534	0.244856762313	0.475328329179	0.167402378021	0.04440833684
k	0.00773657958053	0.00110502964571	0.00242212903112	0.020760469312	0.138952500904	0.465450891326	0.26982738894	0.0937450040133
u	0.0128373487148	0.00200369967617	0.00273988068684	0.0108708748569	0.086486449468	0.427920392709	0.352585097647	0.104556248004
à	0.0185961298029	0.00190427698552	0.00222122201681	0.00625711054523	0.048689876636	0.36435039837	0.482183914549	0.075797072268
i	0.0124433478041	0.00104972713824	0.00122064715	0.00304768978641	0.0229090431987	0.22392640399	0.642631029516	0.092772118556
m	0.0057778201125	0.00128134868381	0.001452278101	0.00230452158214	0.0122076258662	0.130047665597	0.696057769839	0.150870978185
è	0.00473824090423	0.00212902643327	0.00205507474347	0.00248902163205	0.0122750229381	0.0913688031323	0.73821031928	0.146734489195
r	0.00449474094484	0.00210094082916	0.00218246852376	0.00200910062731	0.010430257548	0.0594681413108	0.795099204427	0.124215140532
i	0.0219716297751	0.00339734560365	0.00750402717005	0.0055776562564	0.0203586894293	0.0484491380236	0.607384505476	0.285357009844
</S>	0.0409104967997	0.00508575138482	0.012640003428	0.0094967704382	0.0338058759156	0.0560428750918	0.407094456738	0.434923770922
