 	non	ha	che	li	aspettiamo	</S>
e	0.66511040275	0.2071079173	0.020242424648	0.0119327819625	0.010700604748	0.0849058914239
n	0.413659811083	0.404680051033	0.0499668320093	0.0128823362608	0.0142058471467	0.104605128241
è	0.193312375348	0.599282425011	0.103857985136	0.0228460888436	0.0153315316896	0.0653695920069
n	0.087145439936	0.600715940804	0.151520677912	0.0326488560479	0.0756741372152	0.0522949541354
a	0.048392193292	0.405860049468	0.291033913037	0.109102023183	0.104175611266	0.0414362282337
t	0.027934532492	0.192256236423	0.464387457012	0.182431961728	0.107385370082	0.0256044490912
u	0.0167726704387	0.095437565961	0.388834866271	0.295242855643	0.164605203241	0.0391068345437
s	0.0141200757616	0.0474662950337	0.295964641024	0.320478516014	0.25424859388	0.0677218835812
m	0.0159466019095	0.0221258429712	0.229831836808	0.330855679471	0.282076006693	0.11916402237
ì	0.0162829585768	0.0136843694371	0.103516683369	0.42351099449	0.270748809898	0.172256165633
n	0.0161439832314	0.0295446568164	0.0740331011897	0.465836122163	0.258467340166	0.155974780991
o	0.0287723199163	0.0511596675361	0.0820112144432	0.370002422788	0.289745178655	0.178309184377
m	0.0265859483739	0.0396473128527	0.0668441313237	0.173832159863	0.431271085285	0.261819348726
e	0.0649253520724	0.0351201817369	0.0717424287029	0.0880236382643	0.400984906895	0.339203475802
</S>	0.115164879365	0.0476613792965	0.1030254564	0.0474334422971	0.298319406147	0.388395419041
