 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.937411362	0.058657982133	0.00109058402024	0.00055072397709	0.000641961383956	0.00164737949052
c	0.816099114667	0.175934447769	0.00338943579435	0.00072444368157	0.000895746774809	0.00295681181341
h	0.705829958756	0.283315715723	0.00583139654252	0.00129711410904	0.00122418490465	0.00250163646211
e	0.508474391652	0.474591357774	0.00921845966551	0.00165352106426	0.00489471293335	0.00116756031913
p	0.231440441837	0.698646742591	0.0276506732418	0.00580796777909	0.032593714309	0.00386046329704
o	0.106931112426	0.770269114864	0.0589211615473	0.00891666514903	0.0432729547271	0.0116889983233
l	0.049590816202	0.803134645621	0.101347017372	0.00731793152568	0.0262436687352	0.012365941053
e	0.019643964474	0.729648487207	0.215383638267	0.0117868366952	0.0174772645884	0.00605983299233
m	0.010891893198	0.606871291736	0.335240494842	0.0143507686184	0.0260581891915	0.00658739023944
ì	0.00928783949147	0.514904027645	0.417012224081	0.0243580966861	0.0275354201385	0.00690241056781
s	0.00757206949062	0.414875892215	0.522335135294	0.036153771302	0.0129531492095	0.00610996810607
o	0.0170361594115	0.273163631065	0.551372850431	0.119668750127	0.0310465826865	0.00771200816416
n	0.0239247283018	0.148833116122	0.59361779881	0.175763947376	0.0463763888355	0.0114840206667
t	0.0135744216303	0.0789504166273	0.68250679827	0.160405605125	0.0384912946985	0.0260714613597
a	0.0133804203384	0.0382626303691	0.573736807823	0.277771909708	0.0653337521662	0.031514473152
ò	0.0152250551428	0.023557222083	0.393933549041	0.394457569236	0.146279664255	0.0265469385907
l	0.0226931416547	0.011450650559	0.30750551838	0.448986603745	0.175609247752	0.0337548440365
i	0.0327634481734	0.00781953014233	0.188637933527	0.494811441915	0.210123065984	0.0658445879784
t	0.0264350967139	0.00631516143371	0.0957393344423	0.497468893305	0.266932954661	0.107108556759
i	0.0176737730048	0.00550968081697	0.0605339691794	0.445686754902	0.33059911822	0.13999669966
n	0.0239272750596	0.00609605069142	0.0292429656585	0.379798649901	0.385135550073	0.175799506993
a	0.0267044110412	0.00553265620611	0.0178853142888	0.307598064167	0.439083828691	0.203195728218
d	0.0202379716437	0.0045186966243	0.0113709546789	0.195772607122	0.54910623023	0.218993547893
d	0.0184071743938	0.00350642265122	0.0148441325484	0.166798342307	0.564412631743	0.232031310898
o	0.0142044806291	0.00890107301919	0.0226737251643	0.172028882436	0.479240127581	0.302951735033
m	0.014674591635	0.011063073065	0.0273383942701	0.128971189412	0.48878699986	0.329165769878
à	0.018462820141	0.00544759651037	0.0193264045934	0.0771522148707	0.578794107287	0.300816864559
d	0.0279083676739	0.00306280254472	0.0107772395672	0.0455830475502	0.638484398429	0.274184164853
a	0.0379537936475	0.0165895775328	0.0108232062645	0.0454639805301	0.49539270301	0.393776764551
</S>	0.0403651965937	0.0303041903274	0.0108746010322	0.048219809695	0.319701218805	0.550535001276
