 	sta	seduta	nel	giardino	</S>
s	0.968459776	0.020522267664	0.0015980368425	0.0021003162552	0.00731960386075
t	0.929107121333	0.0555276945813	0.00261835543817	0.0055145187324	0.00723229458486
è	0.658826742378	0.32888847938	0.00381828113606	0.00567453709213	0.00279194344867
i	0.287030056673	0.670433433793	0.012548222432	0.00829409467798	0.0216941785729
k	0.144903599104	0.784758973264	0.0249529893507	0.014545291839	0.0308391401756
a	0.113582282355	0.794699103088	0.0638105438102	0.0126749703137	0.0152330796505
s	0.0727345300383	0.746110559696	0.113559517403	0.0529850258772	0.0146103176668
i	0.0485235456621	0.561384675899	0.284654448334	0.0746087800057	0.0308285082689
m	0.0376544290834	0.373811765166	0.463926748778	0.0609274816019	0.0636795625696
m	0.0476407574105	0.265311389635	0.459634917593	0.113695856867	0.113717060668
è	0.0490585752642	0.147640540972	0.568400854531	0.121111848289	0.113788154087
n	0.0266714877014	0.176510801037	0.658230302177	0.0730979304963	0.0654894683257
i	0.0299959281338	0.180561891052	0.523131154392	0.184720181432	0.0815908557519
s	0.0301378031379	0.093579139666	0.367619584197	0.368474797144	0.140188687184
t	0.0337873907238	0.0653457359046	0.260493139632	0.462701262381	0.177672473848
o	0.0352592942511	0.0383305223155	0.166139072644	0.49518903746	0.265082076469
n	0.022442381175	0.0468958061632	0.115114554281	0.49077522982	0.32477202989
g	0.0540019249157	0.0551485478224	0.0932901279803	0.521624215273	0.275935186963
h	0.0684126123324	0.0393238061271	0.0601210613201	0.615958414424	0.216184107188
i	0.0361920887153	0.0244389781826	0.04702088108	0.631833008808	0.260515032129
a	0.0232814214704	0.0154781227409	0.0336091417107	0.636975382936	0.290655917776
r	0.016587043021	0.0104718997542	0.0198652991809	0.656391874712	0.296683880392
d	0.0147070123618	0.008166054976	0.0198854686736	0.646881205304	0.310360271797
ì	0.0251533463799	0.00982290142667	0.0257023660245	0.585475092435	0.353846297332
n	0.0212598150673	0.00964381288822	0.0196075186975	0.619912417478	0.329576420444
o	0.0541683160424	0.0216042066941	0.0262205188085	0.536370174026	0.361636767815
</S>	0.0966195089312	0.0346242050371	0.0392393675043	0.337105027313	0.492411872907
