 	è	pericoloso	di	nuotare	nella	notte	</S>
è	0.6126586921	0.38200000337	0.00185706047932	0.00177548817176	0.000831516099702	0.000177184262265	0.000700079009774
p	0.423578494033	0.562261194523	0.00700072437377	0.00415699274505	0.00101301896651	0.00041797549978	0.00157161654638
e	0.273747976944	0.694630945841	0.0187345117466	0.00972969396368	0.000854146892677	0.000773495666057	0.00152925177998
r	0.124827736828	0.823183557947	0.0358757456755	0.0120505923999	0.000858006840286	0.00172958795108	0.00147478272158
i	0.0705190782327	0.755302845116	0.153462993919	0.015429880362	0.00135320881944	0.00196393532007	0.00196802507025
k	0.0608272467122	0.651246108839	0.256861150906	0.0228569756693	0.00206521064636	0.0032095111446	0.00293374886109
u	0.0504335911841	0.59297772768	0.314171212369	0.0299208073631	0.00242330680605	0.00362661178885	0.00644673145358
l	0.0582159327234	0.485960860627	0.386391570456	0.0468888663744	0.00481203231995	0.0094490195156	0.00828174204866
ò	0.0598485173498	0.340174599676	0.505483822152	0.0704689089915	0.00728243839465	0.0113270907847	0.00541463067167
s	0.0270460437459	0.231487629825	0.612794764051	0.107363632064	0.00594822466088	0.00535142980837	0.0100082755966
o	0.018792529946	0.146499181675	0.548604690017	0.225246454088	0.0376478113063	0.00991741016679	0.0132919343969
n	0.025279600466	0.071941378185	0.439522027606	0.376489207363	0.0563995822221	0.0197852960009	0.0105829259979
a	0.0247571718073	0.043187833555	0.285216937402	0.545426116454	0.0648727711274	0.0219410707236	0.0145981162975
n	0.0193235808088	0.0213786795657	0.163139237294	0.665248067485	0.0888835573758	0.0235043603779	0.0185225196358
a	0.0171626216779	0.0141573312212	0.104951943565	0.705075518495	0.108966567125	0.030306716466	0.0193792942686
t	0.0109413858262	0.00970288346507	0.0547475125883	0.694930908832	0.156962308775	0.044255479582	0.0284595088489
è	0.00901109924767	0.00569828077436	0.0350236205981	0.580352150944	0.277595952258	0.060684912354	0.0316339752465
t	0.00538271345393	0.00404211438945	0.0197942657814	0.468461816981	0.363415934753	0.100155791051	0.0387473716057
s	0.0347165209693	0.00611643097035	0.018772245732	0.327690011794	0.401509492251	0.14069056335	0.0705047408352
i	0.0448410627644	0.00749673430265	0.0180055021829	0.170259313131	0.500633889417	0.145407000783	0.113356501678
a	0.0189957514575	0.0153299505209	0.017224011254	0.0950747247437	0.529465042872	0.170263681994	0.153646866026
t	0.0134026291456	0.0192600833617	0.0151908614485	0.0691406642812	0.444118466024	0.262644996265	0.176242318162
s	0.0126414295158	0.0106539701378	0.0101852624886	0.0490918305477	0.321241147808	0.394906115422	0.201280238027
è	0.00897089028303	0.00831867209947	0.00566015599185	0.0289280988232	0.219521935136	0.456384811141	0.272215428496
n	0.00520155747486	0.00781507883018	0.00460127036748	0.0242960138584	0.171217592345	0.50414020038	0.282728288859
ì	0.00438517786781	0.00580037720942	0.00472820879269	0.0195161595235	0.120154780122	0.586164950127	0.259250355113
t	0.00414173772087	0.00382586695979	0.00325166591863	0.0119938813632	0.0692851176807	0.664859954042	0.242641777104
t	0.00641445423132	0.00295595619091	0.00296254143876	0.0077764797584	0.0493121048102	0.718744628014	0.211833829301
a	0.00643822859921	0.00490807760597	0.00531505520707	0.00897547674653	0.0559535082354	0.527321810405	0.391087828367
</S>	0.0045004346246	0.00658054434998	0.00699071282553	0.0120033445809	0.0723423869907	0.331273726803	0.566308827183
