 	devo	pulire	l'	albero	</S>
è	0.831989925	0.153875810964	0.00215823899	0.0015881874052	0.0103878545837
n	0.717146737667	0.221211426213	0.00427823454693	0.0320087482272	0.0253548660523
a	0.537015031112	0.383212398604	0.012359334155	0.0433913951397	0.0240218550284
k	0.27221885468	0.650718432201	0.0281562772843	0.0358890111238	0.0130174432088
a	0.110096308207	0.7632860934	0.0789866171614	0.0354176475813	0.0122133399489
t	0.0563030308377	0.7172297218	0.121118450454	0.0792446081738	0.026104191851
à	0.0344768276079	0.5977736086	0.217175535085	0.119928571625	0.0306454487037
r	0.0246255960226	0.4867581742	0.326293377295	0.131508753975	0.0308140883012
o	0.0199949966209	0.354870301267	0.435768804432	0.146471250258	0.0428946484804
t	0.0142695206202	0.238331290249	0.449973541144	0.244958743353	0.0524669010668
o	0.00993223652997	0.155027850456	0.395960736048	0.350450763784	0.0886284116623
n	0.0106657516851	0.0958157137107	0.346198135503	0.418846434595	0.128473964734
à	0.0146486636295	0.067820216328	0.239301931988	0.524686112198	0.153543073558
r	0.0115807166247	0.0419640811485	0.202606555663	0.614213354733	0.129635288586
b	0.0213415878229	0.0462189183895	0.195630597554	0.575373863578	0.161435040262
u	0.0254115299114	0.0420699792878	0.154176662685	0.497389540526	0.280952303087
r	0.0134551286571	0.0227818576466	0.102960905028	0.574839891509	0.285962217096
o	0.0132322909388	0.0222634203838	0.0924212222893	0.55687230717	0.315210748965
</S>	0.014118275101	0.0258503864853	0.0911012531147	0.478675330585	0.390254742283
