 	deve	essere	bianco	</S>
è	0.911363851	0.07115976858	0.0067533880478	0.0107229796842
n	0.815634648667	0.146379067413	0.00970089953393	0.0282853715477
a	0.610507699222	0.338597960938	0.021062551058	0.0298317929775
è	0.388951314987	0.545266487646	0.039845559826	0.0259366419192
n	0.218773388589	0.661483915882	0.068917147242	0.0508255452864
e	0.12163916603	0.645740349294	0.144686052947	0.0879344236955
à	0.110498803163	0.430590330831	0.285871288316	0.173039569232
s	0.0735645019841	0.256379336744	0.467767532639	0.202288622611
p	0.0764845630598	0.172204171223	0.620562497146	0.130748785337
r	0.083892963686	0.080780870261	0.728032994382	0.107293204879
o	0.049178126463	0.0392915089603	0.627521588127	0.28400879846
</S>	0.039472925787	0.0352871433732	0.476653361063	0.44858658223
