 	non	aveva	dove	aveva	per	stare	</S>
e	0.6217926879	0.26000035767	0.018078918337	0.0022388645112	0.00107997576512	0.00189300977321	0.0949161881889
n	0.35823948038	0.50451378709	0.030468086319	0.0045249950944	0.00121616332159	0.00231929085768	0.0987182058921
ì	0.137653106847	0.77086283103	0.0445440693063	0.00550736206413	0.00106366257264	0.00193127104968	0.0384376959653
c	0.0692351554377	0.81539361741	0.0764835587021	0.00561176414804	0.00156551460951	0.00211584425793	0.0295945385445
h	0.0557403063952	0.716311233537	0.181911595301	0.0112646950493	0.00316790941657	0.00501858814191	0.026585654651
e	0.031441600699	0.447779033819	0.470520460967	0.0292450530431	0.00455001780312	0.00590329474477	0.0105605422082
p	0.0536183813957	0.17652110078	0.633547913656	0.103662622348	0.0167274640704	0.0100795804716	0.00584296741127
u	0.0663699062746	0.0780725326913	0.444675191952	0.329059966783	0.0529737106901	0.0179319458065	0.010916756515
ì	0.0295540745315	0.0338374865618	0.214686205404	0.565230816261	0.12186789563	0.0184484931088	0.0163750415583
c	0.0257213067058	0.0189613847793	0.0967185727547	0.605387534087	0.163457970943	0.0290629538363	0.0606902865261
h	0.0283403550811	0.0157004687744	0.0587918269182	0.570563476696	0.163453657714	0.0653612988788	0.0977889062007
e	0.0163177973149	0.0162002722108	0.0360705080921	0.430037596365	0.299858124838	0.10075791056	0.100757784192
n	0.0121685786204	0.016355178404	0.0234911271014	0.262909980522	0.433525690946	0.143293105587	0.108256323308
a	0.0123174800382	0.0125305129997	0.0206930816825	0.166389045281	0.404760061649	0.247390334662	0.135919450547
s	0.00779721496278	0.0082870103139	0.012021764815	0.0722211796403	0.339057640816	0.368928990287	0.191686166516
t	0.00561799573269	0.0038344632801	0.0050423512047	0.0349531168701	0.299796752539	0.433625776362	0.217129533039
a	0.00688189112261	0.00447910262063	0.00617618416147	0.02507275179	0.23121428138	0.446749659721	0.27942614288
t	0.00506665029487	0.00490695657534	0.00654385619761	0.0194943410133	0.150635691927	0.490891772174	0.322460749647
ì	0.0292709319003	0.00357745123625	0.00319441926772	0.0111174520951	0.103292458576	0.500786523391	0.348760784369
</S>	0.0555676688072	0.00407515843882	0.00244672839656	0.00840955438355	0.070585722788	0.463878968696	0.395036222885
