 	hai	già	mangiato	</S>
ì	0.854585776	0.10057837693	0.0257334496654	0.0191024107223
s	0.718316795333	0.163722213403	0.0770106413005	0.040950352311
e	0.484858158144	0.386848508868	0.0915898028602	0.0367035315143
g	0.232759899215	0.632264212956	0.107027523433	0.0279483666254
i	0.108448313058	0.722785280319	0.137821807611	0.0309445981957
à	0.0485605109927	0.619334464106	0.291591754137	0.0405132637719
f	0.0200432674836	0.359599551535	0.554603144046	0.0657540290706
a	0.0170542226272	0.187909580545	0.674917764015	0.12011842597
m	0.0166112295304	0.0828842350417	0.713622352672	0.186882179257
è	0.0426709947091	0.0339796066606	0.741078548224	0.182270870259
n	0.0663308230114	0.0196230714869	0.712730866741	0.20131525506
a	0.0714504198385	0.0247265808223	0.530161070714	0.37366192642
</S>	0.0849039219753	0.0308226539811	0.384660358057	0.49961305831
