 	avete	fatto	già	le	verdure	</S>
i	0.8423917266	0.13297970989	0.0075696384802	0.0007577804927	0.00980824242988	0.00649294010048
k	0.6239310786	0.29675731305	0.0346015694734	0.0038105759489	0.0231124002341	0.0177870848435
à	0.405704433933	0.481982119017	0.0657753171578	0.00563840796963	0.0223635149549	0.0185362192284
m	0.253306103844	0.513695391672	0.153491830919	0.0234113468632	0.0308579584145	0.0252373616663
a	0.134735621901	0.449662079891	0.285936502973	0.0486238719544	0.048887344358	0.0321545632054
t	0.0777329258917	0.378399629964	0.417349170324	0.0605458882515	0.0469172706792	0.0190551210866
o	0.0485678733219	0.229339166321	0.572947448108	0.0768076971505	0.0486728228	0.0236649825537
g	0.0706098813873	0.12521569614	0.597799481836	0.119633048384	0.0605396729336	0.0262021922446
i	0.0766152618891	0.0801796560733	0.506239966412	0.212469895861	0.101308977754	0.0231862284082
à	0.0366964157644	0.0326277932644	0.341581312271	0.344961225954	0.199550838307	0.0445824137694
t	0.017005573681	0.0162144108535	0.21751540949	0.442872521318	0.257361772449	0.0490303157871
a	0.0136244762586	0.0118746256012	0.158321391123	0.435388201106	0.268176379816	0.1126149164
l	0.0131224590576	0.0122683446317	0.074904533901	0.406447391035	0.329344340672	0.163912917227
à	0.0098375032106	0.0117437933046	0.0366802921563	0.336178133345	0.410811275471	0.194749003056
c	0.0118497599435	0.011000063124	0.0228610991181	0.213519729382	0.522295527537	0.218473821905
h	0.0122406526058	0.0106846786388	0.0189967882915	0.150561930961	0.657293005646	0.150222929242
a	0.00952746108483	0.00646153208371	0.0112463404178	0.10169449048	0.569500271949	0.301569900754
n	0.0083796763489	0.0219059741144	0.0128054160128	0.0568155051547	0.491290784183	0.408802648451
a	0.0554211424741	0.0284051623466	0.0163680960353	0.0566728591662	0.475244556194	0.367888185884
</S>	0.10296543765	0.0186201277589	0.0150984924217	0.0679406406531	0.387468400097	0.407906914142
