 	nella	pasta	vuole	sale	</S>
s	0.956712474	0.02441059258	0.00238181393074	0.00183671557939	0.0146584037194
t	0.936229613333	0.0439191471667	0.00319355946931	0.00215409269956	0.0145036013773
i	0.800183851778	0.183889232589	0.00801927289017	0.00245451360869	0.00545314556269
p	0.491688551726	0.351625436463	0.0711502687034	0.0797965845029	0.0057391625489
à	0.260265124509	0.490229529488	0.136868143141	0.105752684321	0.00688452728157
s	0.15005673149	0.621487969829	0.168826622354	0.046520483167	0.0131081951249
t	0.09520538669	0.690730311943	0.160139169851	0.0307369283243	0.0231882092369
a	0.07602820717	0.568392335314	0.29731425635	0.0316601329368	0.0266050839538
t	0.0394738968516	0.276076046585	0.58146121145	0.0727413008456	0.0302475626779
è	0.0173050196408	0.101581036588	0.685872573817	0.164597576082	0.030643813606
l	0.00980075117133	0.0443479569993	0.697358885272	0.211841909027	0.0366505126087
i	0.0202819859995	0.0226373856164	0.527484320957	0.337957909009	0.0916383982896
à	0.0247375226685	0.0101404719821	0.235109003786	0.59817877367	0.131834215283
l	0.00954596457503	0.00484215565737	0.124686383395	0.731945752557	0.128979735348
a	0.0138826362085	0.00298828336712	0.084655416045	0.609333754586	0.289139911383
</S>	0.0227895168842	0.00262021348556	0.0534059985925	0.475134270893	0.446050008191
