 	possono	essere	ancora	svegli	</S>
i	0.908425849	0.048052777377	0.0071276514714	0.0182491433551	0.018144559151
s	0.817135236067	0.130291512592	0.00914076835033	0.0196521224501	0.0237803507915
ò	0.726054154422	0.242393228864	0.00768416855362	0.008629238785	0.0152392053065
z	0.590166698807	0.371270623621	0.0110353583901	0.00465718349614	0.0228701243974
o	0.361899980336	0.569011693874	0.0330383380567	0.00742210833285	0.0286278629299
n	0.180459002019	0.721042372625	0.0587222286656	0.0104851461556	0.0292912330878
e	0.116479759266	0.723387175542	0.101924420402	0.0316853163019	0.0265233228161
ì	0.0858174550753	0.608572663847	0.214998345401	0.0741442387766	0.0164672913414
n	0.0575294892184	0.515712526616	0.3214366098	0.0771861869655	0.0281351823825
e	0.0508411280395	0.356281238799	0.4522697986	0.108131794582	0.0324760331742
a	0.0404246133398	0.14811954584	0.5416384358	0.241459899454	0.0283574904447
n	0.0312933738433	0.0660262409533	0.476456295613	0.341294672425	0.0849294024616
k	0.0658375607298	0.0818297974378	0.354567081284	0.316935601682	0.180829948861
ò	0.0711407079953	0.0839573234446	0.366603848095	0.295953889961	0.182344229227
r	0.0318543391591	0.0363540607295	0.488061875232	0.314513532787	0.129216193282
a	0.050537431467	0.0295451635058	0.454041141991	0.340311795636	0.125564469761
a	0.0731299395623	0.0323139786199	0.269466182957	0.453394273919	0.171695626387
t	0.0473460308136	0.0213135836176	0.117880549166	0.577405168573	0.236054656996
s	0.0496354747417	0.0321377264989	0.115349293489	0.488994588524	0.313882914199
ù	0.0517281056983	0.0484418566787	0.135720185376	0.413903309908	0.3502065632
n	0.0285174376545	0.0354641108154	0.0912661680387	0.513051637923	0.331700664733
n	0.0418413882795	0.0230638408869	0.10557933894	0.492621308708	0.336894130178
i	0.0500696915994	0.0297155101217	0.134528426264	0.378286503549	0.407399879793
t	0.0616323807891	0.0305735335942	0.0890633254587	0.37173575729	0.446995012198
i	0.079430210367	0.0479430010067	0.0651607401889	0.283927674137	0.523538373999
</S>	0.0729734475055	0.0720828454876	0.0756748999285	0.157605427268	0.621663380499
