 	l'	ha	scritta	</S>
t	0.900766884	0.05558624683	0.0311425850907	0.012504265236
o	0.609523099633	0.33649551341	0.0386156069842	0.0153657731222
è	0.242939477194	0.68511650647	0.0564822931214	0.0154617428587
g	0.128166399148	0.69821894349	0.146344368074	0.0272703083044
r	0.103465408383	0.580221357163	0.257186532291	0.0591267008529
a	0.0710859450343	0.471691396588	0.35838244943	0.098840219351
t	0.0405229275768	0.289332499463	0.547103837143	0.123040757404
s	0.0382415828136	0.144469204888	0.633859074381	0.183430147555
e	0.0740584044372	0.113190984803	0.478794716394	0.333955899785
</S>	0.0945243529236	0.108041136161	0.366472717597	0.430961807893
