 	il	vestito	della	sposa	deve	essere	bianco	</S>
o	0.760001103	0.04363491131	0.167530506337	0.0061485608978	0.00482955587447	0.0120760663731	0.00378460861696	0.00199468973445
à	0.539333969047	0.11390536607	0.313767258159	0.00794286094727	0.00610820846609	0.0130544456412	0.00364900036205	0.00223889418508
b	0.307888319036	0.20019691269	0.445064660253	0.00978263311909	0.0065448881497	0.00848755347847	0.00163266310846	0.0204023708286
b	0.174631727652	0.324490349997	0.450512077284	0.0099439348997	0.00578059863803	0.00649560701816	0.00168520270133	0.0264604855558
e	0.104024160848	0.485291894866	0.373485539761	0.0194805188799	0.00360399120868	0.00317912743245	0.00144868561775	0.00948607170043
t	0.050303625252	0.484668254949	0.411387191254	0.0394410435133	0.00379251154223	0.00257237812128	0.00378425938594	0.00405073918736
o	0.0417260695693	0.351641678976	0.457286270418	0.128765868771	0.00784775347141	0.00296250177343	0.00514291174683	0.00462694976054
u	0.0423309636564	0.200539776132	0.362190919873	0.333850827257	0.0439173151638	0.00547492112141	0.00329922454899	0.00839605767635
k	0.0215004873535	0.087857141684	0.376184217024	0.436193028752	0.0595282398346	0.00739353524954	0.00359311581253	0.00775021366595
o	0.0293169056132	0.0502566401347	0.334514270628	0.519454109917	0.0482216378115	0.00729665759318	0.00363727945227	0.00730248489845
r	0.0314536755051	0.0295578145449	0.231801930296	0.615664117306	0.0583207716705	0.0118755673477	0.00968593702245	0.0116401865542
a	0.014062811371	0.0162696863283	0.169646985032	0.671694188435	0.0892792788235	0.0152362429026	0.0122847806399	0.0115260267671
s	0.008297587262	0.0098713779561	0.077506394164	0.724138120812	0.133890463274	0.0244743072675	0.0100080668571	0.0118136894467
ì	0.00424797113873	0.00687436915337	0.04227608042	0.667180409604	0.214277240491	0.0443541062892	0.010387052181	0.0104027518181
u	0.00338007722331	0.00317371205112	0.0162763092956	0.475727741068	0.428251840564	0.0608119898297	0.006902379799	0.00547593111723
è	0.0026788925691	0.00167857153531	0.00703082398413	0.246699464889	0.602818910855	0.125833481277	0.00542277978967	0.00783708017908
n	0.00214725848185	0.0017076386369	0.00398627117138	0.14371022923	0.562976822952	0.250425295092	0.0191712768366	0.015875200911
a	0.0139743814861	0.0058190599745	0.00471867075146	0.100007128877	0.504576870317	0.306200975031	0.0361679545455	0.028534943697
n	0.0184949440434	0.0122045850275	0.00507301702935	0.074663020159	0.416301919772	0.31752136101	0.0995488406485	0.0561923211323
e	0.00836641239983	0.0109972522525	0.00283445767072	0.0515378077397	0.297596324131	0.369815919937	0.175725615083	0.0831262316108
à	0.00557328289794	0.00589798146537	0.00215215241531	0.0235365596066	0.251517993984	0.383620718246	0.198788705494	0.128912610237
s	0.00421874481235	0.00489015998442	0.00181887568686	0.0127792024289	0.168784192461	0.361915325415	0.310364828165	0.135228670226
p	0.00321728924778	0.00515084162497	0.00136256350191	0.014869775327	0.097543330622	0.260122204635	0.487925364122	0.129808630089
r	0.00447012934463	0.00605851664099	0.00306687667737	0.0186848676012	0.0630822501727	0.160302037448	0.584539938041	0.159795367496
o	0.00420755672028	0.0052215871032	0.00342944513066	0.014294400865	0.0374480835426	0.135157147489	0.504062177014	0.296179582632
</S>	0.00314302719214	0.003533340404	0.00231708481933	0.011565863637	0.0378773451533	0.112787850645	0.399312434007	0.429463041316
