 	è	che	stanno	ancora	svegli	</S>
è	0.7163545736	0.17492036663	0.039432736229	0.0115319267702	0.0283795288088	0.0293808186974
n	0.529059218267	0.261989241277	0.103464689823	0.0143191004037	0.0305451156278	0.0606226050951
a	0.324492449476	0.357124629759	0.237740020248	0.0144858231279	0.0141184901699	0.0520385778653
s	0.136195278223	0.447631312586	0.368342473749	0.015446293976	0.0074526966099	0.0249319544544
t	0.0547129867297	0.471581667062	0.442169742916	0.0118297578853	0.00408964351363	0.0156162214911
a	0.0248694081532	0.367431100754	0.561855447305	0.0285611190951	0.00426680548254	0.0130161374329
t	0.0209349986247	0.213682376451	0.679397409102	0.061558263425	0.00801167518578	0.0164152912654
ù	0.0223923704698	0.122452183217	0.676036931034	0.147682605342	0.0155937187226	0.0158421889993
n	0.0472898388153	0.0714086900723	0.647603368345	0.197743786647	0.0175518962922	0.0184024251028
e	0.0591706089438	0.0528538502641	0.499420880848	0.307732174549	0.0636608732434	0.0171616175131
a	0.034890738821	0.029786893786	0.249509084289	0.49985526485	0.169204152914	0.0167538647144
n	0.0269086759296	0.0174162616333	0.106858855836	0.522076565917	0.251470028478	0.0752696133281
k	0.0495207618117	0.0536741521211	0.094467492392	0.396557053606	0.262635206566	0.143145324889
ò	0.0530791560836	0.064147923259	0.08651386761	0.413309349869	0.268520782689	0.114428923496
r	0.0284244083047	0.026070833055	0.0389422272827	0.551187912623	0.282811819296	0.0725628023453
a	0.0287303644911	0.0160377100477	0.0320367516822	0.497244017674	0.328471221565	0.0974799377951
a	0.0347374495138	0.0156545264304	0.0267463733071	0.288308330491	0.482587907655	0.151965421932
t	0.0325299527297	0.0133449104406	0.014814538688	0.13448840283	0.607497018552	0.197325185777
s	0.0328051382504	0.0206867876546	0.0186210008855	0.127133867277	0.500299074917	0.300454145992
ù	0.0269679483453	0.0270737291135	0.0271794988714	0.146510415279	0.431474947706	0.340793461264
n	0.0223135951765	0.0191156535761	0.0195630879962	0.111541488346	0.539027051862	0.288439106055
n	0.0459716605611	0.0407309974286	0.0185830708279	0.088805378382	0.509733272981	0.296175605918
i	0.0505984376293	0.0497411238176	0.038827677573	0.0978067710873	0.394818758994	0.368207211239
t	0.0526403664829	0.0410719983185	0.0422256570666	0.0745295236291	0.397277735518	0.39225469748
i	0.0746237283037	0.0498309273153	0.046404057593	0.0574135704841	0.302834462026	0.46889325836
</S>	0.0766153659538	0.0503089884378	0.0608065789486	0.0665934800937	0.166569827913	0.57910578238
