 	non	sapeva	dove	a	stare	</S>
e	0.66312444782	0.23202274524	0.009659748692	0.00114442260948	0.00263647271646	0.0914121466198
n	0.398498722053	0.48867818308	0.013672185866	0.00139300551156	0.00331381391642	0.094444080846
ì	0.157887773231	0.778093585027	0.022619812202	0.00147106429185	0.00260285514994	0.0373249168765
s	0.0738606319437	0.861108488342	0.0310142916873	0.00370258142422	0.0046709271954	0.025643108669
s	0.0475203343546	0.802936552781	0.0708004772224	0.0220178595754	0.0342915703297	0.0224332431452
e	0.0256728987382	0.54804950506	0.325735311941	0.0419695291865	0.0462860638732	0.0122867126482
r	0.0227304162287	0.33588201142	0.48940987598	0.0969471126155	0.0429490828077	0.0120815102361
e	0.0234866362949	0.220534878067	0.457884811993	0.199018621692	0.0774201928226	0.021654862732
p	0.057139647196	0.103723971929	0.394594349198	0.257835226631	0.130757252741	0.055949562444
u	0.098903336649	0.0622614899657	0.232020977199	0.30295297961	0.196337048514	0.107524183348
n	0.070298028669	0.0332197266646	0.1312467708	0.329810362537	0.267383539038	0.168041588849
a	0.029856033919	0.0176892794169	0.0759873967933	0.342620922092	0.328073492546	0.20577289455
s	0.0138320695881	0.0103238970856	0.0327486641578	0.307214534077	0.384410315515	0.251470531183
t	0.00858201636343	0.00713619675273	0.0198377714206	0.230317082159	0.492681337838	0.241445595328
a	0.008284266665	0.00657506906124	0.0153789758135	0.17318471812	0.540980237146	0.255596726976
s	0.00549626580375	0.00691276230488	0.013039908115	0.134060368533	0.523646588449	0.316844097772
ì	0.0167949104871	0.00675556333796	0.0101517389425	0.102825963458	0.48854090235	0.374930916104
</S>	0.0299023560386	0.00659478325298	0.00789277576965	0.071933483009	0.442624475175	0.441052125652
