 	non	aveva	da	stare	</S>
e	0.713782418	0.17136528408	0.0109974278517	0.00575296825	0.0981019381428
n	0.441452327427	0.41794251156	0.0157221560839	0.0145832019253	0.110299821122
ì	0.184524706996	0.722487537853	0.022588808188	0.0163780647191	0.0540208797612
c	0.08346734754	0.791133790951	0.0372358567293	0.021276518075	0.0668864676112
h	0.066391502297	0.75216114865	0.0607865519098	0.040324504745	0.0803362657144
e	0.044896832564	0.532495843017	0.280542246237	0.0918184281683	0.0502466380748
n	0.0310248436193	0.226385908206	0.499916315732	0.189528540723	0.0531443860449
a	0.0294741061084	0.104043207877	0.440517243431	0.327655915574	0.098309530835
s	0.0175453036835	0.0514298054537	0.296237656344	0.450866822125	0.183920426078
t	0.0161555739987	0.0327677929966	0.185919623228	0.498166246308	0.266990776026
a	0.0195514259492	0.0278525054055	0.110336979963	0.494553673036	0.347705422475
s	0.0136184500397	0.0184358974538	0.0651952130743	0.517998907745	0.384751532558
ì	0.0602304566025	0.0129481526493	0.0444491086386	0.469093673448	0.413278605986
</S>	0.112388255939	0.0126436520657	0.03222741477	0.386311110324	0.456429556493
