 	stava	ancora	cucinando	</S>
ì	0.922682049	0.055455816647	0.0108964089543	0.0109657023263
s	0.881445674333	0.0718370031557	0.028444072898	0.0182732273942
t	0.878770471444	0.0659913514119	0.0393207277771	0.0159174208546
i	0.816025759815	0.138198155677	0.0271787405328	0.0185973199696
g	0.638231570605	0.319111921292	0.0232044726496	0.0194520111962
g	0.501585149535	0.445192533431	0.0359563790012	0.0172659177919
h	0.454593641245	0.465398961144	0.0501691330917	0.0298382599288
e	0.345008294615	0.559645267048	0.0611815618239	0.0341648687849
a	0.184087568285	0.669619799683	0.116206768075	0.0300858516283
n	0.0767402745683	0.638311637628	0.245966486592	0.0389815899761
k	0.0460028993641	0.509199664609	0.348560910231	0.0962365187654
ò	0.0574612931494	0.38192440947	0.420040868744	0.140573420595
r	0.0453783712238	0.432506333157	0.418657771448	0.103457505238
a	0.0306505689753	0.378703427066	0.440686125683	0.149959864819
m	0.0255556987141	0.223433210729	0.551833922961	0.199177164606
a	0.016618620826	0.161221464886	0.654144469387	0.168015446975
r	0.0133837945763	0.069745066358	0.713747761129	0.203123383365
è	0.00688721861343	0.0294323187307	0.767925351043	0.195755110055
o	0.0137447040678	0.0207254903842	0.697709567681	0.267820224818
n	0.0556285899003	0.0209935595134	0.59149112056	0.331886724739
t	0.0629875863856	0.0238355029558	0.632697223253	0.280479685113
a	0.0308100489926	0.0242273635753	0.510153672951	0.434808912304
</S>	0.0256607643247	0.0186287005097	0.366057390676	0.589653148652
