 	non	so	cosa	scrive	</S>
e	0.62892215096	0.3386311066	0.0144975794065	0.00338829757038	0.0145608679221
n	0.42572276476	0.515899136867	0.0191429078955	0.0155106520415	0.023724546816
e	0.244310637627	0.568515782289	0.106229230432	0.0500550041318	0.0308893390978
t	0.115300129416	0.581599700096	0.188816537877	0.0778769875773	0.0364066130324
s	0.0755105909053	0.475324375365	0.244283131959	0.165246962626	0.0396349099308
è	0.0542878890551	0.292050969642	0.409653941986	0.213566455142	0.0304407333903
r	0.0446359404717	0.270142653234	0.520857565329	0.142466956347	0.0218968879084
o	0.0411907525172	0.205265762091	0.52558829611	0.185842296716	0.0421129107878
t	0.0489545620573	0.0978967709903	0.43244275437	0.359073248172	0.0616326703626
i	0.0499425546393	0.0566734675101	0.27395478899	0.504690814724	0.114738363488
g	0.0686376361444	0.0305318178434	0.16948657723	0.565164466908	0.166179491229
r	0.0686141430212	0.0244479246351	0.113207702183	0.507746440303	0.285983772743
à	0.0282232943929	0.0140315914697	0.0666628988677	0.580041140768	0.311041074381
f	0.0142540557422	0.00603749613563	0.0312792422292	0.771953588256	0.176475642127
i	0.0201718227071	0.00534281084228	0.0391846785137	0.637544964085	0.297755739042
</S>	0.0321752807495	0.00639886441414	0.0540628316028	0.449148162043	0.458214865221
