 	ti	dico	una	cosa	però	non	parlare	di	queste	cose	con	Maria	</S>
s	0.741327071	0.24549095325	0.0036932885558	0.00134798106397	0.00265575913514	0.000557330637645	0.00127001977098	0.000547873127396	0.00030995583588	0.000189530257255	0.00011757414551	0.000262419343263	0.00223026515475
u	0.581442590333	0.39434503335	0.0118261347666	0.00193252651459	0.00308154173551	0.000836804441978	0.00144577395085	0.00121688332913	0.000356976778803	0.000691158314384	0.000229228270445	0.000305602528685	0.00228975956387
l	0.376036904231	0.584447531783	0.0285342697089	0.0038270327365	0.0019515501073	0.000760025577553	0.00076039930913	0.00111085229783	0.000194801781648	0.000753800866075	0.000210759869438	0.000468672138463	0.000943400283433
è	0.21863141213	0.674845968594	0.0962338433563	0.00589517605447	0.00164767028377	0.000564581031411	0.000374167591158	0.000435988115727	9.05292304027e-05	0.000274739354151	8.60472200936e-05	0.000508553476869	0.000411324346425
o	0.13087313015	0.614852371531	0.228623692385	0.0184335906182	0.00386820144992	0.000947011288004	0.000384500813821	0.000606364030731	0.000106663158943	0.000508972638829	6.22070703583e-05	0.000374389699514	0.000358885109236
è	0.05260985843	0.490799891444	0.403949489262	0.0316812696994	0.0111431457633	0.00162087952333	0.00139919181457	0.00168035181861	0.000251750947162	0.00181027515499	0.000517714730971	0.000290917638478	0.0022452419678
n	0.036399697664	0.331298407015	0.519504298421	0.0511882949198	0.0416907126011	0.00551757627264	0.00406191345717	0.00189165733011	0.00100603672768	0.00191963196683	0.000676179259087	0.000695516967681	0.00415007512299
a	0.034147590674	0.182920578572	0.58584198414	0.100176478427	0.0772792582404	0.00772931745975	0.00440538446259	0.00109418756346	0.00134800218417	0.000888220623283	0.000285561730609	0.000878278439917	0.00300514952983
p	0.0320661182367	0.088879523424	0.58392810538	0.172964920809	0.102301375413	0.00747359281525	0.00462986336506	0.00119006680182	0.000963581014223	0.000494682441168	0.000213800028634	0.00357982942845	0.00131453240031
r	0.0267554249089	0.0600931276967	0.430753608927	0.315459839336	0.128098843404	0.0136785517377	0.0125032627264	0.00450199287421	0.00175390326047	0.000593681173776	0.000309611623742	0.00458607279971	0.000912067439359
à	0.011879699754	0.0312514478969	0.336514462642	0.379830276179	0.196448203135	0.0184209632992	0.0147122070601	0.00539105334546	0.00203439333106	0.000800192970352	0.000264271559168	0.00182933778054	0.000623474034748
m	0.0068356926748	0.0135630227036	0.290961175414	0.370952311126	0.261295661445	0.0228774336797	0.0190705062313	0.00407085004827	0.00492875914619	0.00134636510636	0.00037233472775	0.000957109181516	0.00276876873228
a	0.00606428091713	0.00787372531587	0.172013356885	0.351857383909	0.391662674482	0.0308100713066	0.0229819603171	0.00389109403142	0.00644088235273	0.00151642439805	0.000433245381017	0.000882146344632	0.00357273699745
p	0.00582101282078	0.00470848678896	0.0830441811617	0.270871082836	0.540213649494	0.0351393703689	0.0343560392657	0.00696585511447	0.00541922301891	0.000840956075283	0.00109978858565	0.009998469123	0.00152187061384
