 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a	0.5916410981	0.3043942531	0.015313176072	0.0039772122602	0.00172363775545	0.0036123771923	0.00185732895029	0.00169626981728	0.0757845968071
n	0.281984084833	0.5956721537	0.0265254083507	0.0072917332134	0.00222936320815	0.00374913016873	0.00216700731171	0.00217709118807	0.0782039882056
è	0.102422153364	0.7984881059	0.0521067901169	0.0100260441311	0.00180166290338	0.00233157000098	0.00153275017845	0.00171925148062	0.0295716525338
r	0.0539869227547	0.749008321967	0.128303620706	0.041120163637	0.00332349699579	0.00194362829879	0.00129029361242	0.00168564129184	0.0193379054092
t	0.0391588028049	0.555806229989	0.286896516969	0.075196878779	0.00609800227526	0.00798431702753	0.00910209211737	0.00376982373408	0.0159873337472
i	0.0194749009463	0.33256534733	0.446212068923	0.159678782693	0.00844430738642	0.010632940464	0.011923668586	0.00450825795059	0.00655971726183
s	0.0195205559395	0.18309221911	0.511263996508	0.231877521764	0.0112192654155	0.00526494533083	0.0068035570752	0.0271846698664	0.00377324804009
e	0.0245934371253	0.11167372835	0.475383516703	0.305582327788	0.0309737580452	0.0065248566411	0.0054811008056	0.0356338204189	0.00415343288398
s	0.0183438329834	0.0591109992767	0.449190832101	0.352766237263	0.0613307904817	0.0080383514737	0.00520722785587	0.0395991888836	0.00641253205247
i	0.0161207094798	0.0367012784856	0.350182990634	0.400247021088	0.118937023694	0.0178621166379	0.00632343018529	0.0427755673537	0.0108498606762
t	0.0139061073916	0.0222095519199	0.225241787718	0.462166494363	0.193401479231	0.0261763102706	0.00820206205243	0.0343495227114	0.0143466804019
t	0.0101531672981	0.016466697929	0.161845860586	0.475497084388	0.24386222901	0.0251152908749	0.0126800462021	0.0433006152451	0.011079001456
à	0.00907131479497	0.0121322264581	0.079557833302	0.456222100396	0.348415828937	0.0389703427716	0.0175330417654	0.0312890924493	0.00680821763745
a	0.0133422477483	0.0102505121034	0.0484544652307	0.299018313219	0.473722746979	0.0999928665905	0.0280455354818	0.0209721290107	0.00620120336326
n	0.0188970160348	0.010386759628	0.0367563550802	0.176679524793	0.491371392326	0.12804960813	0.0580739592939	0.0421840032369	0.0376014150211
k	0.0181061914569	0.019978047449	0.0442430586561	0.140555256671	0.389817446309	0.108266895843	0.091211468538	0.111482237319	0.0763394287204
ò	0.0129895916223	0.0238385022084	0.0432524950967	0.0852505534237	0.400047774303	0.152013157281	0.0956203463527	0.129660119546	0.0573274777761
r	0.0066770296281	0.0127311038521	0.0328594932876	0.0727739343679	0.485076411434	0.165024987294	0.0872239299376	0.106752848082	0.0308802764747
a	0.0077715992467	0.00965976196737	0.0306206027759	0.070039372156	0.378731724411	0.147282431365	0.166195076799	0.137156441754	0.0525430078382
e	0.0171590109556	0.0115554892025	0.0194711781853	0.0286085866213	0.20160218927	0.159945536322	0.2899849596	0.186454635251	0.0852184244461
n	0.0194159990659	0.00916213065277	0.0133133670212	0.0114057387411	0.117774058763	0.134021518381	0.316926662267	0.26699824675	0.110982285215
è	0.0164080714366	0.00683989084953	0.00895636764453	0.0057337269997	0.077023549231	0.0859412626537	0.251347093022	0.445522367917	0.102227662905
p	0.0115784743417	0.00517891481171	0.00469586918584	0.00342892769123	0.0352116952537	0.0454661198446	0.189836705174	0.618219632639	0.0863836566017
r	0.00474004446542	0.0086808411831	0.00647365827961	0.00474449986121	0.0232761294446	0.0221693602664	0.156499265514	0.66157524888	0.111840966734
ò	0.00284830596547	0.0117695080964	0.00763757933787	0.0047898505432	0.0164537351682	0.0137371884337	0.104278801227	0.602065665627	0.236419376111
n	0.00199468076293	0.00673472243469	0.00426730170929	0.0025261700894	0.00755473679273	0.00771027529123	0.0679579124917	0.601417771876	0.299836430904
t	0.00566855957908	0.00582124394209	0.0074314333939	0.00698214573053	0.00779170065691	0.00799266645201	0.0576797983672	0.676127965292	0.224504493101
o	0.00693429063703	0.00704077454	0.0153913819794	0.00972631511138	0.0105104531963	0.0119651364563	0.0549345145824	0.533211768431	0.3502853729
</S>	0.00436206263751	0.00700629028	0.0194720642107	0.00790179252589	0.0110100170801	0.0136342572742	0.0574722609502	0.371980832216	0.50716042245
