 	viene	fabbricato	</S>
è	0.922265956	0.071502532084	0.00623148703
r	0.776667796867	0.189302570368	0.0340296177013
k	0.497769768289	0.432009371789	0.0702208579211
e	0.253744605696	0.639304995263	0.106950386761
t	0.142314876892	0.719995325088	0.137689789734
e	0.083512818064	0.752928017029	0.163559168491
f	0.0370440538453	0.757960581676	0.20499537003
a	0.0198826581838	0.739699377892	0.240417971277
b	0.0103838329126	0.751839152631	0.237777020492
b	0.0334713403162	0.74532419421	0.221204466497
r	0.0558330695487	0.698856577403	0.245310361032
i	0.0578903832476	0.550343779948	0.391765857877
k	0.0444721839225	0.490330485463	0.465197329292
à	0.0268604739942	0.466844903821	0.506294601764
t	0.0539359788567	0.43623321594	0.509830800588
o	0.0985760307749	0.37870054858	0.522723428863
</S>	0.117922107753	0.25702278919	0.625055112432
