 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a	0.769796665	0.20604341886	0.0166083232084	0.00253952901697	0.00166096443324	0.000388609382909	0.000199729915474	0.00128403316909	0.00147874212529
k	0.613062033	0.34810899322	0.0263730872695	0.00414484234166	0.00232375055001	0.000448071826727	0.000303022266935	0.00169596782367	0.00354024856604
à	0.404724291133	0.55301302574	0.0257062092098	0.00453446684722	0.00179796921734	0.00433348551363	0.00031108469019	0.0014107877498	0.00416869373831
j	0.241768732578	0.647494113247	0.0847073290699	0.00781610172241	0.00307926118711	0.00628345716544	0.000461316568021	0.00231805363855	0.00607163328879
o	0.170964867753	0.586070222149	0.202166287323	0.0130238854208	0.0111803363244	0.00487479714901	0.000793066900817	0.00260441275516	0.00832212124343
t	0.12751419772	0.497649870116	0.327310203774	0.0217551910403	0.0130245883028	0.00379449552494	0.00073968282196	0.0021845909318	0.00602720122331
r	0.119869602422	0.383837631639	0.442800817658	0.0334571258801	0.00729448663427	0.00392832335618	0.000890870422037	0.0048998570411	0.00302133184572
a	0.0635967517167	0.272396897313	0.572953347886	0.06091775186	0.0172374375914	0.00541406881346	0.00104036179804	0.00498071536936	0.00146270075506
ù	0.0259793435042	0.134325000071	0.678115240629	0.112869803787	0.0351800037705	0.00492425780922	0.00218851040165	0.00336763786472	0.00305022248125
d	0.0364941954206	0.0625618687703	0.651492207543	0.177973296262	0.0507543352635	0.00621795602374	0.00367401038542	0.00496937058731	0.00586277945515
i	0.0431851594967	0.0319578078168	0.503068126514	0.316768467421	0.0721275762078	0.0168617248386	0.00534057825574	0.00517462918069	0.00551592761472
a	0.0217274679496	0.0181046885389	0.316864739505	0.461287826474	0.106922506736	0.0454665906449	0.00995485435125	0.00649780869838	0.0131735102434
a	0.0107107935472	0.0116330410216	0.175471359235	0.480023080158	0.196795361645	0.0702181443196	0.0144425003064	0.00898624343785	0.0317194781728
s	0.0121703914263	0.0151178694192	0.099035014985	0.443566958053	0.290642064748	0.0747887948379	0.0165264568388	0.0152422932018	0.0329101606201
ò	0.012993692179	0.0159075351811	0.060114233235	0.364001264684	0.387762336249	0.0895370157193	0.0308995404996	0.0195792844826	0.0192050842388
z	0.00788343859867	0.00857885370837	0.052710376865	0.293679435095	0.424608045083	0.100813488306	0.0684525810399	0.0282195869689	0.0150541751991
i	0.00728926773222	0.00716341083946	0.0449572098103	0.222853941232	0.388183330228	0.136512015282	0.134019160327	0.0436304635583	0.015391189142
g	0.0240812911151	0.00660479824209	0.0188996161988	0.172936262077	0.373686243609	0.168121983074	0.162762487796	0.0587312537948	0.0141760556104
r	0.0287680267689	0.00780116141596	0.0112698974996	0.145422931626	0.36172055487	0.159541522491	0.185150347532	0.0754311986383	0.0248943688692
à	0.0125188803778	0.00750152313232	0.00825689945053	0.0822050350753	0.30319209589	0.18964901483	0.278381587377	0.0891135545394	0.0291814225144
t	0.00690333623533	0.00509510253851	0.00446339097731	0.0800251655384	0.20631576123	0.22997110781	0.334403590859	0.106347938393	0.0264746113688
s	0.0199907366553	0.00519843591264	0.00454796852304	0.0742473583128	0.16929501837	0.25803969787	0.31668217802	0.101799307331	0.0501993093276
i	0.0234567677879	0.00479948379362	0.00542928757181	0.0381454665376	0.147323051883	0.22450974209	0.378081837073	0.10191931181	0.0763350865325
i	0.010998069632	0.00769165596387	0.00973604541994	0.0212121844465	0.109303663034	0.149585107963	0.473495947024	0.130401731703	0.0875756240442
n	0.0157863683613	0.012238841074	0.0101202215951	0.0164424022562	0.0746761110873	0.107488503861	0.457267199941	0.208377374434	0.0976029758814
ì	0.015913331613	0.0103124749773	0.00493260627417	0.0113585182194	0.0393256594184	0.068103326183	0.373706762047	0.385227908411	0.0911193870538
t	0.00900394677611	0.00674765332923	0.00279099404039	0.0059375852588	0.0224898320528	0.0503755884037	0.281559627149	0.540321116137	0.0807736396179
t	0.0104875086328	0.00740755858092	0.00233763280513	0.0060748279932	0.0156137055109	0.0475159894079	0.20772794045	0.608489824046	0.094345022446
a	0.00872359500463	0.00754311777069	0.00321348928704	0.00896182428233	0.020266204179	0.0381079630186	0.159405505477	0.491559326149	0.262218987949
</S>	0.00512309303232	0.00657562730534	0.00337788470752	0.0103161363652	0.0306707513525	0.0344624843033	0.141966050628	0.349371228275	0.418136753975
