 	se	si	era	vestita	la	mia	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.549654632	0.2544672857	0.12378399466	0.006274098088	0.00124262923832	0.00070375255017	0.000815178447398	0.000334017651967	0.0013013847549	0.000858255567619	0.00204193797533	0.00421126761265	0.0543115610009
n	0.253177455718	0.363170760233	0.305957000153	0.00957338660267	0.00194398017911	0.00085130247675	0.000902621773746	0.000330857715872	0.0013007713551	0.000847551805025	0.00206914062443	0.00499569154624	0.054879474677
ì	0.0916506155353	0.409127836211	0.455426022318	0.0140122555209	0.0027396736427	0.000751707793517	0.000673031097315	0.000314491413427	0.000618495711714	0.000446484096526	0.000999141101495	0.00344019058362	0.0198000551096
c	0.0505529724764	0.44804098087	0.433295478773	0.019785470227	0.0163693238759	0.00388013248077	0.00160807085997	0.00866342274581	0.00540856559791	0.000458870377189	0.000567970875748	0.00365046749929	0.00771826718052
h	0.0463803467655	0.431064982957	0.397532130924	0.0379943543423	0.0406401896006	0.00768549665899	0.00349587019195	0.0144097538725	0.00870209908107	0.000617547702586	0.00363307831951	0.00488364810144	0.00296048008774
a	0.0314310512845	0.304764564252	0.423104117441	0.102367027714	0.0982293319635	0.0098714733954	0.00416303873514	0.0084078190609	0.0062294394045	0.000714640006881	0.00492072256567	0.00464768151282	0.00114907253783
n	0.0170457092042	0.157391760351	0.453030762347	0.155018998238	0.152543619441	0.0188543829878	0.00378371821158	0.0036518564575	0.00490480777455	0.00243921037618	0.00203047733146	0.0288110821926	0.000493594312531
d	0.0255785958681	0.11208410407	0.366207768036	0.203466875746	0.187243775654	0.0336161259359	0.00723936496853	0.00737600171703	0.00896684598962	0.00316868629977	0.00199149285072	0.042471300661	0.000589054084967
ì	0.0248277617934	0.0830044183367	0.192092854472	0.355017945249	0.246266886485	0.0451581451453	0.00982851466151	0.00880327068446	0.00921431813559	0.00160142448333	0.00207831750461	0.0215725640679	0.00053357786194
s	0.0141529318518	0.0363595888056	0.135088814697	0.445956230416	0.268444422695	0.0671328712151	0.0098961703525	0.00469572670694	0.00407285291118	0.00173267687879	0.00128555600807	0.0106779519424	0.000504200297931
o	0.0137866319043	0.0214172690719	0.104012339467	0.378036435659	0.312767822432	0.131496376938	0.0200823531642	0.00452088284031	0.00287332398413	0.0020312067258	0.00118592526762	0.00721093351618	0.00057849756163
n	0.0104794585718	0.012451198982	0.0468201095237	0.315023585206	0.384631856144	0.171893923179	0.0242025757881	0.0041390715521	0.00398175791971	0.00368930935253	0.000866415693973	0.0212121897781	0.000608548660543
t	0.00924826094793	0.00824969376333	0.0289260992212	0.255338888535	0.409793148048	0.19372186566	0.0246429064627	0.0093759390447	0.0201107272392	0.00446488065738	0.00188709043562	0.0334478154089	0.000792694087336
a	0.00742395905451	0.00462804613011	0.0143040820173	0.162392706605	0.438494215749	0.262365308553	0.0441403418876	0.0152598484562	0.0238226874842	0.00235090518368	0.00278433169355	0.0214578547303	0.000575715539446
i	0.00969596283937	0.00351852709904	0.0067362041247	0.091063707675	0.38467036745	0.351070561518	0.0959907159625	0.0233472282001	0.0147798396979	0.00302634254231	0.00402356864576	0.0108598254808	0.00121713016372
k	0.0169939973909	0.00358443571101	0.00583325154023	0.0580621717383	0.307499499083	0.364911305506	0.159829145321	0.0282220198934	0.0182166033973	0.0113434625438	0.00410065894959	0.0156495462194	0.00575387657646
i	0.0246073454494	0.00400037165167	0.00481267644234	0.0400814497194	0.275772284541	0.311030408169	0.249588009574	0.0336654535311	0.0170222957724	0.0129975169185	0.00238132405025	0.0166886357164	0.00735220833562
a	0.0229499549311	0.00345300374522	0.00296937372838	0.0209262861665	0.178773134774	0.286514648323	0.364772195658	0.0628971017437	0.0228284552681	0.0121344302807	0.0056728927159	0.0113309211407	0.00477759102283
t	0.0177609970444	0.00225747945281	0.00210217821833	0.0113692391842	0.105728325938	0.261357573308	0.422086684553	0.0818273619812	0.0393813853294	0.0261221428456	0.00688153609693	0.0163248955713	0.00680019289853
è	0.0168429544468	0.001887555761	0.00270547612464	0.0079133173322	0.077983145006	0.219596429836	0.476570948184	0.0897917947271	0.0475626736831	0.0305790403765	0.00457025379274	0.0172655265803	0.00673087631821
r	0.00993356818453	0.00142087672533	0.00285643525921	0.00503595257487	0.0652971355753	0.187923863845	0.551591718061	0.090542118709	0.0402773109277	0.0262288344935	0.00353742589928	0.0104948881199	0.00485986481346
a	0.00413673795838	0.00163914595644	0.00186397008994	0.00427929242429	0.0558887750718	0.144035392115	0.51634688002	0.158183839036	0.0550509377092	0.0391520436512	0.00503562719636	0.00939504783861	0.00499229330778
m	0.00266653399139	0.00182107608855	0.00239294484598	0.00332734348943	0.0281733168106	0.0926664334383	0.46508504934	0.233403391679	0.0812145941697	0.0596271935504	0.00697417839212	0.00860736900754	0.0140405631476
u	0.00307945654553	0.00251331273125	0.00325792014293	0.00368140873114	0.0160200657389	0.0554524836661	0.41422067778	0.23388969096	0.12457773199	0.0962349073835	0.011955027724	0.0177217355432	0.0173955740429
t	0.00395939667784	0.00269558098368	0.00301963235004	0.00364364681765	0.0094690215383	0.0350535797354	0.332079393927	0.21104420092	0.17960856317	0.149676026128	0.0169506372413	0.0282332464304	0.0245670554458
i	0.00303691418808	0.00201962811849	0.00242248318001	0.00270281320708	0.00548794275543	0.0251004333785	0.246625865709	0.182462192973	0.25263229363	0.184331406243	0.0293548736471	0.0337206889721	0.0301024482889
n	0.00452189698589	0.0020108129407	0.0027801919095	0.00245143982249	0.00439096644581	0.0157411030288	0.165157038503	0.158399487844	0.30110724921	0.237683581214	0.037367822549	0.035644029656	0.0327443823204
ì	0.00499471381383	0.00135756339543	0.00265654032799	0.00142204406116	0.00317609638394	0.0108895507989	0.109832396701	0.111865858668	0.378591011203	0.256426074138	0.0606419117163	0.0251717673013	0.0329744797395
c	0.00329484662251	0.00251761327726	0.00335072485913	0.00187505158199	0.00359174989998	0.011200848513	0.0840425995003	0.0867898549893	0.380022043934	0.306778854446	0.0737397077721	0.0205395330698	0.0222565556252
h	0.00350566852904	0.00329768889276	0.00390115076478	0.00249863546937	0.00448273103373	0.0137628414997	0.0928157593668	0.0921826981231	0.294555391111	0.380572782815	0.0595856083907	0.0231789988213	0.0256600275917
a	0.00265886627318	0.00201229975381	0.00218626039313	0.0019008606937	0.00327798391231	0.00831478274057	0.0672968620556	0.0801665724477	0.249347956304	0.386273648272	0.13931444493	0.0259711580451	0.0312783033279
p	0.00243536184219	0.001352975372	0.00179596731863	0.00113998843686	0.00279637525544	0.0112214264422	0.0408190098632	0.0561143617959	0.172418215095	0.419905798091	0.18441443571	0.0404902010217	0.0650958825826
à	0.00215801786786	0.00111268221673	0.0016368215612	0.000763687647913	0.00235159184581	0.0120897167694	0.0274195464991	0.036898714152	0.179546219525	0.398804532697	0.171920725303	0.0676842233872	0.0976135136142
r	0.00112246780995	0.000878924417577	0.00147054732853	0.000543762101304	0.00137086727794	0.00569794915847	0.0208277109664	0.040630133524	0.183054855275	0.388920510899	0.196202434301	0.0819784944891	0.0773013196514
o	0.00115172339998	0.00193868994653	0.00164254606338	0.0012167933171	0.00167288117398	0.00438709874949	0.0200368638355	0.045549710048	0.110420535045	0.3243197173	0.282777155367	0.120427276456	0.0844589847171
n	0.00184763055599	0.00285987066521	0.00342330757753	0.00145796339074	0.00210811065071	0.0080891055091	0.0161598545865	0.027841312166	0.0631456635683	0.270595349433	0.344541002856	0.161002407919	0.0969284163724
t	0.0044640568096	0.00219588105565	0.00450053646835	0.0010301337914	0.00214736844173	0.00987173312837	0.0143209290008	0.017219721232	0.0868943548961	0.272738733011	0.336387268285	0.154799443246	0.0934298417775
a	0.0050345647708	0.0016670349421	0.00292988924076	0.00185197664878	0.00297064330269	0.00773162047832	0.0192243738889	0.015336430056	0.0936799203254	0.19017295407	0.343182505428	0.172366200282	0.143851886713
s	0.00366320883627	0.00231383450374	0.00539603632805	0.00189267370185	0.00273338230052	0.00602188218084	0.017540727309	0.0121968466053	0.0495482234951	0.144217822623	0.351588701143	0.223596784787	0.179289863371
i	0.00289505126656	0.00255147878095	0.00610781687048	0.00133881669674	0.001898280375	0.00406801667095	0.0080775510434	0.0064965652667	0.0258780167564	0.095262634641	0.323444533048	0.335350848596	0.186630382057
n	0.00392652292292	0.00326425087462	0.00900321135819	0.00136968159209	0.00217481901555	0.00796892252052	0.00720882988953	0.0054702380525	0.0160042635035	0.060021466847	0.291785125216	0.387278585599	0.204524091152
a	0.00464140873511	0.00369058979385	0.0102902036621	0.00158113050077	0.00233846423953	0.00939918952884	0.00738147339584	0.0048629473015	0.0149599496345	0.048821407969	0.261142730072	0.437521577666	0.193368932597
g	0.00392846944557	0.00327958367642	0.00612717370314	0.0017111126537	0.00245784854358	0.0112030343583	0.00715262431508	0.00448498283383	0.0123490200982	0.0348978822763	0.219247678491	0.474766514822	0.218394072746
l	0.0040775571905	0.00399726471957	0.00629846940639	0.00170964957395	0.00355745686869	0.0135662222552	0.00944226778403	0.00601157231794	0.00942863329633	0.0499519247121	0.24535052583	0.416586737027	0.230021710582
i	0.00338877943863	0.00376949797331	0.00507862981697	0.00221540895729	0.00375318593899	0.0100775547802	0.0139904149256	0.0101315520425	0.0101762457746	0.0505258729107	0.223749599177	0.411447854322	0.251695393994
s	0.00333802199847	0.0031146188184	0.00732733652885	0.00198839899118	0.00256150680723	0.00715282481241	0.0121632411788	0.00966131470667	0.0072507703404	0.0427094578236	0.189288366292	0.440523496801	0.272920634931
ì	0.00280744916869	0.00288627216367	0.00791686563517	0.00177939485618	0.00420327887341	0.00960057614243	0.00897749885667	0.0109849366824	0.00462274889547	0.0389238895425	0.179404825097	0.486680697327	0.241211565444
a	0.0128890774463	0.00382034823129	0.00401828118471	0.00410319742271	0.00620866433844	0.0136224002361	0.0158970403512	0.0178261758874	0.00992901191716	0.0289339928102	0.118158123419	0.406614596636	0.357979099015
</S>	0.0236756372721	0.00492942929465	0.00328278831415	0.00607806307615	0.00608595791002	0.0133469158556	0.0210008833262	0.0194428439533	0.0158024540986	0.0279904443471	0.0795967207895	0.304917730518	0.473850141308
