 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.833767304	0.150408696689	0.00306173394917	0.00281717140642	0.0009251366855	0.00901996058887
c	0.782764419333	0.173359347267	0.0291278238688	0.00272592153889	0.000958179817007	0.0110643139104
h	0.719474562444	0.200509562527	0.0689811255374	0.00197190379363	0.000824231856538	0.00823861518507
a	0.670682243481	0.262877916122	0.0594773976146	0.00135154359108	0.000515815777275	0.00509507749151
n	0.494607423827	0.462294550034	0.0373085808749	0.00116185368169	0.00182570428843	0.00280188618821
a	0.315814737809	0.596788628111	0.079320086636	0.0034600786919	0.00264095886254	0.00197551025659
v	0.193148204934	0.64786584347	0.146889003636	0.0050012055533	0.00366004721111	0.00343570740646
o	0.0837601532753	0.62502354289	0.216815173517	0.0195680614931	0.0163858255376	0.0384472609892
r	0.0421590758578	0.51039870523	0.32373722041	0.0331232617197	0.0310697921991	0.0595119603841
à	0.0243061513119	0.344367886143	0.49567360547	0.0760726453066	0.025400358155	0.0341793637527
s	0.013045784044	0.275200458248	0.57124101289	0.0965693775689	0.020351111985	0.0235922624509
o	0.015036543088	0.225298653929	0.546588644697	0.15841180899	0.0289930636017	0.0256712980723
t	0.0151368653287	0.12241043143	0.580956341566	0.20644679413	0.0436885391406	0.0313610439974
s	0.0160910174122	0.130693887914	0.597096521722	0.14360745291	0.0513508646335	0.0611602653225
o	0.0242713354074	0.0957065939953	0.454893737241	0.26297009337	0.0770487213112	0.0851095135975
m	0.0419047706711	0.0392235034251	0.34333337228	0.362668988457	0.10451720137	0.108352156099
ì	0.051581438101	0.018195790865	0.279387631513	0.366965688152	0.180739122523	0.103130322946
k	0.0328981824703	0.007910095683	0.142874933297	0.406502421851	0.301766005974	0.108048354249
u	0.0271562593094	0.0067386793458	0.0745928334557	0.34171335995	0.362001622325	0.187797231636
à	0.0323752128555	0.00552653681525	0.0423829621947	0.21121489985	0.525102474108	0.183397899879
i	0.0217036814126	0.00260556222287	0.0184043254057	0.0995069487967	0.685899080036	0.171880405426
m	0.0104283637787	0.00295385455416	0.0112933351682	0.0475332970856	0.704933204679	0.222857959029
è	0.0097893527629	0.00424058010005	0.00879345410973	0.0372867735352	0.73779950356	0.202090356763
r	0.016008467951	0.00510354630582	0.00497377403431	0.0325172641984	0.769955633187	0.171441334834
i	0.0402286807078	0.00729365560634	0.00606215696717	0.0284440509495	0.574963378529	0.343008093125
</S>	0.0593074343979	0.00890768650117	0.00834138677359	0.0342735265698	0.375689893464	0.513480087163
