 	ancora	non	mi	sono	vestito	</S>
a	0.96166198	0.019109715075	0.00463088527	0.0022465148736	0.0011438561884	0.0112070681611
n	0.935918393333	0.0316997572163	0.00652273235267	0.00548161109053	0.00223874441227	0.0181387634823
k	0.740404607111	0.0640564791101	0.0598603813802	0.0893451185535	0.0184904876618	0.0278429054094
ò	0.532434088104	0.168007639483	0.11232796166	0.138676501718	0.0233635764939	0.0251902055051
r	0.509687417101	0.222959850494	0.103708039151	0.119679598086	0.0218057764673	0.022159296495
a	0.376963233587	0.217622560365	0.188388147314	0.158893255529	0.0265877484624	0.031545040491
e	0.187551715416	0.249090907522	0.265343452838	0.197452860043	0.0374355475075	0.063125510981
n	0.119660001099	0.201269821107	0.231852448779	0.294052392081	0.0734193944758	0.079745940907
e	0.0831871705043	0.129634627769	0.20803901236	0.39075069296	0.100781860732	0.0876066328023
n	0.0536652705861	0.0784332633163	0.18098606138	0.427919837653	0.161799292357	0.0971962696674
d	0.0307816106307	0.0337664812321	0.121722712416	0.484594107884	0.218613928032	0.110521158442
ì	0.0193808083349	0.0207070502574	0.077749898968	0.514249838295	0.247398447877	0.120513948741
s	0.0116857328523	0.0153155614125	0.0580290736113	0.538639482432	0.263437147826	0.11289298442
i	0.0142200406554	0.0145990923308	0.0511945128924	0.420430537077	0.250622983342	0.24893281494
m	0.0286746981118	0.0194586673883	0.0487529518475	0.227095652292	0.316983358514	0.359034663647
o	0.0686459900259	0.0207086675408	0.0356703176525	0.153864288097	0.314499465238	0.406611266816
</S>	0.0987622319959	0.0205754899404	0.0345196978563	0.129994302549	0.243112913219	0.473035347808
