 	forse	non	li	ha	a	casa	</S>
f	0.97467196	0.017710336293	0.0036350370573	0.0005774117665	0.000536673759464	0.00101594609818	0.00185264001433
ò	0.924226622667	0.057474478053	0.0133094877771	0.00105543888057	0.000713430587088	0.00104648243181	0.0021740732875
r	0.818996962222	0.0957613895377	0.036085651759	0.0169620868942	0.00681238210246	0.00309005604018	0.0222914703722
s	0.707037405807	0.136462384413	0.0638508337863	0.0288475854701	0.0256023324103	0.00812135000966	0.0300780970045
i	0.459715037089	0.256281268338	0.170938719395	0.0387892107634	0.0467814063558	0.0128025178981	0.0146918514746
e	0.21045356665	0.281357074779	0.374481748465	0.0599472465678	0.0403060238346	0.010680527248	0.0227738429383
t	0.127648546157	0.229384602126	0.456825868155	0.0921626197226	0.0299929880895	0.0313273406617	0.0326580814108
u	0.076449166579	0.178024099442	0.487078829385	0.143314165174	0.0413183556365	0.0430617011999	0.030753724862
s	0.041250900033	0.130692932887	0.434117793128	0.227306558258	0.0707245254455	0.0528208417753	0.0430864666444
è	0.0303456666443	0.103420115136	0.312620601709	0.356303438753	0.101405531682	0.0560980714871	0.0398066019375
c	0.0231737422054	0.0615420011253	0.241761652703	0.442847974251	0.132652509961	0.0496018767577	0.0484202622152
h	0.0470829559145	0.0332049006764	0.180319063701	0.43800840275	0.170982417187	0.0702963628259	0.0601058927784
i	0.0606392870135	0.0185946649201	0.12988085332	0.399953223583	0.271922890062	0.0734111566753	0.0455979233928
è	0.0484091474512	0.0118411133667	0.0569208130167	0.303275219394	0.412914766021	0.117048338692	0.0495906148909
s	0.0363599292085	0.0127437281752	0.0285301314256	0.188644193665	0.42612947934	0.242461096697	0.065131447877
s	0.0418593809173	0.0342339005535	0.0197976748819	0.130039070148	0.32140809438	0.348406263566	0.104255613426
u	0.0410784034621	0.0373338852113	0.011271848072	0.080570526256	0.213293532327	0.378163281189	0.238288514275
</S>	0.024630657521	0.0229729331527	0.007369416988	0.053719043548	0.168078841564	0.379280975595	0.343948118538
